,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,22,6DaE48egpIqB7qTgUHxSG8,"Brother, Can You Spare a Dime? (with Lenny Hayton & His Orchestra)",31,192640,0,"['Bing Crosby', 'Lenny Hayton & His Orchestra']","['6ZjFtWeHP9XN7FeKSUe80S', '0StdR40slU9ybqS5X6HvaQ']",1932,0.473,0.154,5,-14.51,0,0.119,0.987,3.04e-06,0.114,0.322,84.676,4,https://i.scdn.co/image/ab67616d0000b2735e799620c379dd942507dfd3,https://open.spotify.com/track/6DaE48egpIqB7qTgUHxSG8
1,41,6YGjimELcQfbkb96Wy62kW,Billie's Blues - Take 1,32,159200,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1933,0.743,0.371,3,-9.509,1,0.0533,0.915,0.000309,0.353,0.806,115.099,4,https://i.scdn.co/image/ab67616d0000b27320c18fa281afe0defb49e629,https://open.spotify.com/track/6YGjimELcQfbkb96Wy62kW
2,58,5HATyaQk0WDbEmKMZOByMv,Blue Skies - 78rpm Version,34,172293,0,['Count Basie'],['2jFZlvIea42ZvcCw4OeEdA'],1936,0.441,0.5,0,-6.399,0,0.0387,0.576,0.106,0.197,0.536,82.84,4,https://i.scdn.co/image/ab67616d0000b273d8addd80c18efafca2b895ee,https://open.spotify.com/track/5HATyaQk0WDbEmKMZOByMv
3,111,3x95FfMhVfB3ZNIufQ1IF3,Blue Moon of Kentucky,43,180893,0,['Bill Monroe & His Blue Grass Boys'],['64vAECmFoB6mi7n1zTRwR8'],1945,0.606,0.184,10,-15.26,1,0.0327,0.966,0.000274,0.0962,0.793,104.491,3,https://i.scdn.co/image/ab67616d0000b273da6929904d5e740ad7e1c21b,https://open.spotify.com/track/3x95FfMhVfB3ZNIufQ1IF3
4,119,3wvG6oGSZ6c7oskNDsI1CY,"Baby, It's Cold Outside (with Dorothy Kirsten)",35,137893,0,"['Frank Sinatra', 'Dorothy Kirsten']","['1Mxqyy3pSjf8kZZL4QVxS0', '3mMDsLh0ODpEuwpvn9sitk']",1945,0.594,0.239,2,-12.401,1,0.131,0.963,0.000253,0.706,0.703,127.892,4,https://i.scdn.co/image/ab67616d0000b2732e1e77d6acadd7e238d7bc42,https://open.spotify.com/track/3wvG6oGSZ6c7oskNDsI1CY
5,127,0qkp5UK0HUwmsRfL8MICXK,Blue Yodel No. 4,31,208067,0,['Bill Monroe & His Blue Grass Boys'],['64vAECmFoB6mi7n1zTRwR8'],1946,0.736,0.289,5,-14.591,1,0.0407,0.97,0.368,0.246,0.786,96.594,4,https://i.scdn.co/image/ab67616d0000b273ee0685013c81d1aa70c6de31,https://open.spotify.com/track/0qkp5UK0HUwmsRfL8MICXK
6,134,5xSBTdaKgLE0qJTUBWKo0t,Back Door Man,39,366733,0,['Willie Dixon'],['5v8WPpMk60cqZbuZLdXjKY'],1947,0.797,0.431,0,-16.457,1,0.0625,0.414,0.0359,0.138,0.809,109.893,4,https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,https://open.spotify.com/track/5xSBTdaKgLE0qJTUBWKo0t
7,146,72HUHsM38XhUE7YjA7oxLz,Botch-A-Me (Ba-Ba-Baciami Piccina),37,136867,0,['Rosemary Clooney'],['0NkyXWGxE3WTFixDSJ39PK'],1948,0.642,0.664,0,-8.485,1,0.0934,0.802,0.0,0.138,0.959,148.866,4,https://i.scdn.co/image/ab67616d0000b273a1bd4e463daa74b780125e9a,https://open.spotify.com/track/72HUHsM38XhUE7YjA7oxLz
8,207,1n4un65pSS9JM6oGSuSTta,Billy Boy,31,158333,0,['Ahmad Jamal'],['6gc6oo3u2f7SqTd4mhe81O'],1951,0.662,0.349,0,-16.309,1,0.0511,0.991,0.919,0.109,0.54,108.219,4,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,https://open.spotify.com/track/1n4un65pSS9JM6oGSuSTta
9,217,5B1XEvV3NaVPulBCafMGZg,Body And Soul,37,195480,0,['Stan Getz'],['0FMucZsEnCxs5pqBjHjIc8'],1952-01-01,0.493,0.123,1,-18.31,1,0.0449,0.995,0.953,0.105,0.444,66.934,4,https://i.scdn.co/image/ab67616d0000b27344c2eccef40368cdc6a8819d,https://open.spotify.com/track/5B1XEvV3NaVPulBCafMGZg
10,226,6GzIxYLosb0IlS1bNtu0lO,Bouncin' With Bud,33,183148,0,['Bud Powell'],['570vCzcespB48HIQyTbDO6'],1952-01-01,0.417,0.53,7,-8.621,0,0.0392,0.82,0.484,0.201,0.894,167.953,4,https://i.scdn.co/image/ab67616d0000b273a2a703e2f8f6af5e55c086dc,https://open.spotify.com/track/6GzIxYLosb0IlS1bNtu0lO
