Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
7,5H4bQ14RjOVM4eKtaIpn3B,Clarinet Marmalade,34,192773,0,['Bix Beiderbecke'],['3kfbYBrL3MCPAMUwKDRpc7'],1927,0.779,0.452,5,-10.351,1,0.0504,0.991,0.818,0.0828,0.964,125.229,4,https://i.scdn.co/image/ab67616d0000b27368b82bcf27d36333df75037c,https://open.spotify.com/track/5H4bQ14RjOVM4eKtaIpn3B
17,1URyyv3KRVnqlVkQQi3OlQ,Chorra,38,124147,0,['Carlos Gardel'],['05Q9xndTxhXhD5trpmTtfU'],1930-08-18,0.699,0.447,3,-10.589,1,0.16,0.971,0.000236,0.19,0.603,124.463,3,https://i.scdn.co/image/ab67616d0000b27350578f0c747a11e11882271b,https://open.spotify.com/track/1URyyv3KRVnqlVkQQi3OlQ
18,66QFC1l8Oe1bKSLdZYwr9B,"Consolation No. 3 in D-Flat Major, S. 172/3",37,264560,0,"['Franz Liszt', 'Vladimir Horowitz']","['1385hLNbrnbCJGokfH2ac2', '4Ws5hSoABAwvGJ4LhHwHgq']",1930,0.269,0.00856,1,-29.686,1,0.0367,0.991,0.913,0.132,0.0808,70.131,4,https://i.scdn.co/image/ab67616d0000b27338557ed7e3ce34225e28d4c0,https://open.spotify.com/track/66QFC1l8Oe1bKSLdZYwr9B
20,3R9LrKCdEcgECnrVFA1Flz,Cheek to Cheek,42,197947,0,['Fred Astaire'],['4BtDAwCZhR6nPrJtbVgQNX'],1932,0.488,0.148,0,-13.97,1,0.049,0.911,1.79e-05,0.0689,0.669,161.637,4,https://i.scdn.co/image/ab67616d0000b273e4f6441f931da771a99dedb6,https://open.spotify.com/track/3R9LrKCdEcgECnrVFA1Flz
45,5qWXXF3On2xUfVu1ND1NLN,Cheek to Cheek,51,198107,0,['Fred Astaire'],['4BtDAwCZhR6nPrJtbVgQNX'],1935,0.506,0.18,0,-12.184,1,0.0443,0.908,2.35e-06,0.0652,0.665,161.51,4,https://i.scdn.co/image/ab67616d0000b27356bff619c5c10108bc2708f3,https://open.spotify.com/track/5qWXXF3On2xUfVu1ND1NLN
47,07IuSThN6YHAAollCnu1Ln,Can the Circle Be Unbroken,41,187000,0,['The Carter Family'],['0FRIWJYklnmsll5M6h4gUL'],1935,0.557,0.32,8,-8.874,1,0.0372,0.975,0.0,0.11,0.648,98.959,4,https://i.scdn.co/image/ab67616d0000b27372a0fa1ec9359fff8e48b6bb,https://open.spotify.com/track/07IuSThN6YHAAollCnu1Ln
52,33hrofhwmIk6hrnkpbCsmq,Cross Road Blues - Take 1,45,157800,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1936,0.702,0.186,4,-16.121,1,0.0604,0.978,0.000683,0.0895,0.576,106.793,4,https://i.scdn.co/image/ab67616d0000b2731dbb341963b1e8bd7eb57885,https://open.spotify.com/track/33hrofhwmIk6hrnkpbCsmq
57,4iJD2Pi2Wp0zGF2CUPOQq0,Cara al Sol - Remastered,34,102213,0,['Falange Española'],['3jRXLKgKkQua79wFElGy8f'],1936-03-12,0.518,0.296,7,-7.85,1,0.0361,0.92,2.82e-05,0.575,0.79,94.129,4,https://i.scdn.co/image/ab67616d0000b273c4c6a75239ee11e93ba7fb77,https://open.spotify.com/track/4iJD2Pi2Wp0zGF2CUPOQq0
60,0zcP9KhEMKisghEf1j7p8i,Come On In My Kitchen - Take 2,32,169160,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1936,0.615,0.032,6,-16.305,0,0.119,0.974,1.73e-06,0.111,0.222,88.454,4,https://i.scdn.co/image/ab67616d0000b2731dbb341963b1e8bd7eb57885,https://open.spotify.com/track/0zcP9KhEMKisghEf1j7p8i
61,1TrGdXSgiBm8W68D2K1COG,Cross Road Blues,55,149560,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1937,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,4,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,https://open.spotify.com/track/1TrGdXSgiBm8W68D2K1COG
65,10W125nMbncRGcXRBoACOx,Come On In My Kitchen,43,172307,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1937,0.556,0.0643,10,-15.305,0,0.175,0.927,2.37e-06,0.0991,0.283,81.673,4,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,https://open.spotify.com/track/10W125nMbncRGcXRBoACOx
76,1gT8eoUUU3oNwatyXzQ6II,Clarinet a la King - Instrumental,35,172267,0,['Benny Goodman'],['1pBuKaLHJlIlqYxQQaflve'],1938,0.6,0.246,5,-15.538,0,0.0514,0.981,0.798,0.396,0.744,98.211,4,https://i.scdn.co/image/ab67616d0000b273a289143d3f8165729c463456,https://open.spotify.com/track/1gT8eoUUU3oNwatyXzQ6II
140,6qvpcGNIOMkim3TZqvGhC6,Contigo - Tema Remasterizado,52,171533,0,['Los Panchos'],['3Ker27Wbb9OcUHGs54JIAz'],1948,0.789,0.297,1,-11.253,1,0.0654,0.979,0.000853,0.102,0.73,106.768,4,https://i.scdn.co/image/ab67616d0000b2736663f9e7b8ca094390947d00,https://open.spotify.com/track/6qvpcGNIOMkim3TZqvGhC6
142,3GVyT9fBXuEkGs1STo2WHZ,Come On-A My House,44,116933,0,['Rosemary Clooney'],['0NkyXWGxE3WTFixDSJ39PK'],1948,0.527,0.633,10,-8.56,0,0.114,0.826,0.0,0.422,0.961,183.174,4,https://i.scdn.co/image/ab67616d0000b273a1bd4e463daa74b780125e9a,https://open.spotify.com/track/3GVyT9fBXuEkGs1STo2WHZ
211,5aefoUh9oR6nzQdwdp6k14,Come Back To Sorrento,48,195867,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,0.179,0.152,9,-15.837,1,0.038,0.938,5.74e-06,0.122,0.227,79.554,4,https://i.scdn.co/image/ab67616d0000b2738ddbf9277a03e7d734485b31,https://open.spotify.com/track/5aefoUh9oR6nzQdwdp6k14
221,29erJjtgdbh1KbG7MuPJCj,Confirmation - Take 3 / Master,35,178867,0,['Charlie Parker Quartet'],['5GBe2GMfPm3IFagD5XuKKs'],1952-12-12,0.581,0.552,7,-9.529,0,0.046,0.506,5.07e-05,0.0897,0.747,103.772,4,https://i.scdn.co/image/ab67616d0000b273aeb39f276dde87a22496665f,https://open.spotify.com/track/29erJjtgdbh1KbG7MuPJCj
233,6kf7ZCJjEbjZXikivKOsvJ,Claire de lune,62,347427,0,"['Claude Debussy', 'Alexis Weissenberg']","['1Uff91EOsvd99rtAupatMP', '2fxWL96h0S44PhEa9e6mtm']",1953,0.365,0.01,1,-25.268,1,0.0519,0.995,0.924,0.0584,0.0364,135.048,3,https://i.scdn.co/image/ab67616d0000b2733bd78d11bb721874ba0818ff,https://open.spotify.com/track/6kf7ZCJjEbjZXikivKOsvJ
251,2TssIiPXhNjzSMbXTC82L1,Cavalleria Rusticana: Intermezzo,33,227893,0,"['Pietro Mascagni', 'Renato Cellini']","['3Z5fRknMBBNfCw6pkgR9S8', '0XvsuRN6GcGGsptalckTGj']",1953,0.0834,0.163,5,-16.379,1,0.039,0.746,0.925,0.246,0.0394,75.276,1,https://i.scdn.co/image/ab67616d0000b2738f5a2f149e2d63fe2fb4eb8c,https://open.spotify.com/track/2TssIiPXhNjzSMbXTC82L1
255,4syS07CCPFqZTIs9V5Femk,Chuncho,31,221573,0,['Yma Sumac'],['1HkQ4XrPffqcVW0TgTTw0d'],1953-01-01,0.312,0.117,4,-16.326,0,0.0431,0.918,0.517,0.108,0.0767,139.848,4,https://i.scdn.co/image/ab67616d0000b273c979c9576f6f40326b62d19c,https://open.spotify.com/track/4syS07CCPFqZTIs9V5Femk
272,6CSrPDQF938mg8CaOT89xt,Cama de Piedra,48,131067,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.41,0.0834,4,-13.234,1,0.0522,0.823,0.0,0.189,0.752,182.187,3,https://i.scdn.co/image/ab67616d0000b273071ffa1c21f686d6ae40b2ce,https://open.spotify.com/track/6CSrPDQF938mg8CaOT89xt
283,6GV4qDo0rsamI1XitBnFCs,Caravan,42,439893,0,['Dizzy Gillespie'],['5RzjqfPS0Bu4bUMkyNNDpn'],1954-01-26,0.369,0.619,1,-12.648,1,0.0525,0.785,0.0348,0.108,0.579,166.137,4,https://i.scdn.co/image/ab67616d0000b273548165be0a97b93f5831ab91,https://open.spotify.com/track/6GV4qDo0rsamI1XitBnFCs
292,79dhjqvk5LOW1Ah1dQDGgU,Con Alma,38,305067,0,['Dizzy Gillespie'],['5RzjqfPS0Bu4bUMkyNNDpn'],1954-01-26,0.719,0.34,8,-13.352,1,0.0308,0.829,0.893,0.154,0.713,113.897,4,https://i.scdn.co/image/ab67616d0000b273548165be0a97b93f5831ab91,https://open.spotify.com/track/79dhjqvk5LOW1Ah1dQDGgU
294,3AF40YsNhI8LfFnxKvcgGB,Chartreuse,37,273040,0,['Kenny Drew'],['65uKPt40QH8dMBLuoJHPVY'],1954-01-01,0.536,0.131,2,-18.365,1,0.049,0.991,0.905,0.128,0.0981,129.586,4,https://i.scdn.co/image/ab67616d0000b273e3fc77d913301886a7cc7d17,https://open.spotify.com/track/3AF40YsNhI8LfFnxKvcgGB
307,1une3rqT2R9tsTOZWwzIrZ,Count Your Blessings Instead Of Sheep,35,188400,0,['Bing Crosby'],['6ZjFtWeHP9XN7FeKSUe80S'],1954-01-01,0.16,0.234,6,-15.459,1,0.0367,0.443,1.6e-05,0.167,0.355,77.607,4,https://i.scdn.co/image/ab67616d0000b273beba2a8484aa025bb0607d66,https://open.spotify.com/track/1une3rqT2R9tsTOZWwzIrZ
336,7f6AAixCrVar1ZY7RPHDfM,Cry Me A River,63,178573,0,['Julie London'],['3qUMmh5biaB5hqpF4LqS3m'],1955-12-01,0.496,0.0688,4,-14.927,0,0.0545,0.964,0.00229,0.112,0.161,119.898,4,https://i.scdn.co/image/ab67616d0000b273320b023f0b74149959eb8069,https://open.spotify.com/track/7f6AAixCrVar1ZY7RPHDfM
360,0BNrLm5na6f7witHj8769E,Cherokee,42,344293,0,"['Clifford Brown', 'Max Roach Quintet']","['1HJHwWck1EY096ea2iPAHO', '6ynifrh6ZrWXHAywnUlNV3']",1955-01-01,0.434,0.663,3,-8.992,1,0.048,0.416,0.00645,0.0921,0.636,86.924,4,https://i.scdn.co/image/ab67616d0000b273593f51311045ab28b58095d2,https://open.spotify.com/track/0BNrLm5na6f7witHj8769E
361,7jmchRphZBajTUO88UtL3L,Cuando Tú Me Quieras,42,208720,0,['Javier Solís'],['7jerD1mbWgyDukHAmCvdCj'],1955,0.456,0.32,0,-8.701,1,0.035,0.688,0.0,0.131,0.293,88.027,4,https://i.scdn.co/image/ab67616d0000b273286e4fc3261ef71eef2b212b,https://open.spotify.com/track/7jmchRphZBajTUO88UtL3L
379,3VIXUEBg2YkGwBMpTPMBXa,Caravan,36,356307,0,['Thelonious Monk'],['4PDpGtF16XpqvXxsrFwQnN'],1955-01-01,0.546,0.162,10,-20.387,0,0.0476,0.915,0.927,0.0832,0.385,95.947,4,https://i.scdn.co/image/ab67616d0000b273076941a374c48bcdd6d13484,https://open.spotify.com/track/3VIXUEBg2YkGwBMpTPMBXa
