Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
9,2P9nh9pTK96dE0b6NBbTSs,"Dark Was the Night, Cold Was the Ground",47,198560,0,['Blind Willie Johnson'],['5kO4xdEKLuHHHPreu3UmkZ'],1928,0.394,0.0406,9,-23.179,1,0.044,0.968,0.0453,0.0976,0.2,116.117,1,https://i.scdn.co/image/ab67616d0000b273ca26ce52fd1ac32db22ecacc,https://open.spotify.com/track/2P9nh9pTK96dE0b6NBbTSs
43,42kZZMyWGoiFScVmZhSNhy,Doin' The Uptown Lowdown,36,164867,0,"['Richard Himber and his Orchestra', 'Johnny Mercer']","['3Rj3lY5R1BIFD3527AlLSN', '5cBHm2CXrbncYIDzrxF4Vi']",1934-07-01,0.612,0.372,0,-8.803,0,0.138,0.988,3.64e-05,0.0921,0.895,201.256,4,https://i.scdn.co/image/ab67616d0000b2735a6949804db127e8d118e099,https://open.spotify.com/track/42kZZMyWGoiFScVmZhSNhy
49,0HFqUkRuP4G49GpwqWICVv,Doin' The Jive,36,180827,0,['Glenn Miller'],['2aAHdB5HweT3mFcRzm0swc'],1935,0.617,0.154,5,-23.122,0,0.341,0.938,5.76e-05,0.172,0.903,184.826,4,https://i.scdn.co/image/ab67616d0000b27386f6d68855fa5ea34ee98178,https://open.spotify.com/track/0HFqUkRuP4G49GpwqWICVv
87,4maOOupWP90I0dXFU9m81b,Ding-Dong! The Witch Is Dead,31,47333,0,['The Munchkins'],['2IWke5993mDWWZpnEyqr1E'],1939-08-25,0.685,0.875,2,-13.625,0,0.0701,0.88,0.148,0.125,0.459,126.645,4,https://i.scdn.co/image/ab67616d0000b27336dc550da2f85e4a31174c1c,https://open.spotify.com/track/4maOOupWP90I0dXFU9m81b
92,0AtVA7axXKVFnjQsN4xBIy,Dream,56,168158,0,['The Pied Pipers'],['5o8E07TcYqIefZpDejymAd'],1942-06-20,0.198,0.276,7,-10.588,1,0.0289,0.919,0.00261,0.21,0.0692,88.422,3,https://i.scdn.co/image/ab67616d0000b2730343f053ee05ce219f6c7ad3,https://open.spotify.com/track/0AtVA7axXKVFnjQsN4xBIy
186,4J2EPwzxdv2ellgx5E4QnP,Dónde Estás Yolanda,34,187373,0,['La Sonora Santanera'],['3CsPxFJGyNa9ep79CFWN77'],1950,0.836,0.248,4,-21.443,0,0.166,0.756,0.145,0.0744,0.918,139.403,4,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,https://open.spotify.com/track/4J2EPwzxdv2ellgx5E4QnP
289,2sfcdBm7F0ccANkXBfMK5K,Daahoud,39,245400,0,"['Clifford Brown', 'Max Roach Quintet']","['1HJHwWck1EY096ea2iPAHO', '6ynifrh6ZrWXHAywnUlNV3']",1954-12-01,0.498,0.644,1,-12.071,1,0.0333,0.528,0.0609,0.0352,0.712,120.719,4,https://i.scdn.co/image/ab67616d0000b273b293b5ad2d7830fdbe2f06a3,https://open.spotify.com/track/2sfcdBm7F0ccANkXBfMK5K
324,0Pb99v5cF2WuVAPURHCX8E,Delilah,32,486533,0,"['Clifford Brown', 'Max Roach Quintet']","['1HJHwWck1EY096ea2iPAHO', '6ynifrh6ZrWXHAywnUlNV3']",1954-12-01,0.494,0.196,2,-15.816,1,0.0416,0.842,0.0299,0.1,0.568,142.82,4,https://i.scdn.co/image/ab67616d0000b273b293b5ad2d7830fdbe2f06a3,https://open.spotify.com/track/0Pb99v5cF2WuVAPURHCX8E
370,24yp02DOu2GD6Acoz3Q7AH,Danny's Dream,37,340693,0,['Lars Gullin'],['4gquwMHteaMQ0ZQOMj9CsI'],1955,0.437,0.0607,8,-20.981,1,0.0427,0.987,0.897,0.109,0.246,61.717,4,https://i.scdn.co/image/ab67616d0000b27348776c13fef3fc78fa6cbaa5,https://open.spotify.com/track/24yp02DOu2GD6Acoz3Q7AH
397,0uPvnhU6hNx8O4M79x8hyN,Deep In A Dream - Remastered,33,169373,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1955,0.25,0.0653,3,-18.691,1,0.035,0.937,0.00161,0.162,0.193,87.414,3,https://i.scdn.co/image/ab67616d0000b273d4f8a582c0c3a3d67f395c6d,https://open.spotify.com/track/0uPvnhU6hNx8O4M79x8hyN
439,7pzDaHQx6WFWtdx9PLPxcx,Double Trouble,52,163440,0,['Otis Rush'],['1h0hOL3bVcYlg4xcSjU7fP'],1956,0.566,0.424,7,-8.689,0,0.0392,0.669,0.00456,0.175,0.431,105.768,1,https://i.scdn.co/image/ab67616d0000b2730cbe1cd9eab0af72e95507a4,https://open.spotify.com/track/7pzDaHQx6WFWtdx9PLPxcx
500,3CRDbEEHB4hMOKuPj9fwSO,Devil or Angel,39,146933,0,['The Clovers'],['0ckkj0a9CvIJr4h84B0OlN'],1956,0.668,0.239,5,-13.181,1,0.0332,0.871,0.0,0.299,0.719,106.937,4,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46,https://open.spotify.com/track/3CRDbEEHB4hMOKuPj9fwSO
525,23lcRsgi0OWWUaUmpHctS8,Delirio,36,190760,0,"['Carmen Delia Dipini', 'Johnny Rodriguez Y Su Trio']","['6DmGRDkFsjh9CAdjzcueSL', '3uAVQsk8Roan0ICqULYAka']",1956-01-01,0.622,0.26,5,-12.927,1,0.0652,0.926,0.0589,0.133,0.77,121.816,4,https://i.scdn.co/image/ab67616d0000b27378ceff979013395a14c7684d,https://open.spotify.com/track/23lcRsgi0OWWUaUmpHctS8
599,2HyPrPSANTIPkR6CfiytwY,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),59,223373,0,"['Doris Day', 'Paul Weston And His Orchestra']","['3ESG6pj6a0LvUKklENalT6', '3EVyH5tLgdq62aXTdKfzey']",1957-11-11,0.386,0.125,0,-17.695,1,0.0394,0.921,6.42e-06,0.0919,0.254,147.721,4,https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24,https://open.spotify.com/track/2HyPrPSANTIPkR6CfiytwY
627,0oQtjAjUeksVd9gHE5fl02,Drown in My Own Tears,48,201866,0,['Ray Charles'],['1eYhYunlNJlDoQhtYBvPsi'],1957-01-01,0.535,0.177,1,-11.311,1,0.0384,0.861,1.97e-06,0.11,0.404,134.764,3,https://i.scdn.co/image/ab67616d0000b273f0e951707ca49b533fdbf64e,https://open.spotify.com/track/0oQtjAjUeksVd9gHE5fl02
673,31yWQ2e7dxRKtkDdMr1Rlo,Do Nothing 'Til You Hear From Me,41,136360,0,['Abbey Lincoln'],['0A9p7WNA1VwxVyrjx92Z9F'],1957-01-01,0.423,0.27,7,-9.9,1,0.0263,0.721,0.0,0.219,0.365,74.037,4,https://i.scdn.co/image/ab67616d0000b27380405f3456f98163efb8dea3,https://open.spotify.com/track/31yWQ2e7dxRKtkDdMr1Rlo
701,1d0NjHhCDKCKZIbws021xD,Dear Old Stockholm,38,468667,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1957-03-18,0.595,0.343,9,-11.158,0,0.0694,0.525,0.000838,0.161,0.338,80.185,4,https://i.scdn.co/image/ab67616d0000b273cb6f92683ff9ad65f27a3f9f,https://open.spotify.com/track/1d0NjHhCDKCKZIbws021xD
742,4q0J9IdCJ7l8YjNNxp4UZL,Downbound Train,35,169173,0,['Chuck Berry'],['293zczrfYafIItmnmM3coR'],1957-05-01,0.609,0.632,3,-6.171,0,0.0428,0.918,4.09e-05,0.258,0.597,74.839,4,https://i.scdn.co/image/ab67616d0000b273f0028276a55283a4305a6ce0,https://open.spotify.com/track/4q0J9IdCJ7l8YjNNxp4UZL
777,6Tq8Fj8jZQIO24XhXV5Dno,Deception,33,168760,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1957,0.477,0.252,5,-18.09,1,0.0341,0.866,0.00218,0.0657,0.57,100.783,4,https://i.scdn.co/image/ab67616d0000b273f44518f7aea6cc64ecca8448,https://open.spotify.com/track/6Tq8Fj8jZQIO24XhXV5Dno
787,3vZIYc2V9Ql80jWI2ZApEC,Doxy - RVG Remaster,33,293640,0,"['Miles Davis', 'Sonny Rollins', 'Horace Silver', 'Kenny Clarke', 'Percy Heath']","['0kbYTNQb4Pb1rPbbaF0pT4', '1VEzN9lxvG6KPR3QQGsebR', '5ZATfKurLqflrBhv2FLht5', '7xwlN7fhoOwNgDmRTwYZOa', '0vKbTTNdtagd8xiERj6Szb']",1957-01-01,0.639,0.279,5,-11.887,1,0.0488,0.889,0.114,0.137,0.496,120.455,4,https://i.scdn.co/image/ab67616d0000b27342a04303e6eb1100df3ea036,https://open.spotify.com/track/3vZIYc2V9Ql80jWI2ZApEC
884,5DDx7lVobjWfLyvRDtW7BX,Dancing In The Dark,47,247200,0,['Cannonball Adderley'],['5v74mT11KGJqadf9sLw4dA'],1958,0.377,0.251,5,-7.503,1,0.036,0.904,0.131,0.0586,0.383,185.445,3,https://i.scdn.co/image/ab67616d0000b2730f81ed1bf84b3585a8492d3d,https://open.spotify.com/track/5DDx7lVobjWfLyvRDtW7BX
904,7F4z7VV5aVWX72YK4bM9HB,Down In The Willow Garden,45,184667,0,['The Everly Brothers'],['4ACplpEqD6JIVgKrafauzs'],1958,0.236,0.153,6,-13.279,1,0.0313,0.877,0.0,0.118,0.105,201.273,3,https://i.scdn.co/image/ab67616d0000b2739ec63b832a4799ce571d9d80,https://open.spotify.com/track/7F4z7VV5aVWX72YK4bM9HB
995,1d8nSRQam4oz1J0TDS6nvk,Dr. Jackle,36,345933,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1958-04,0.361,0.668,2,-7.337,0,0.102,0.188,4.39e-06,0.0985,0.696,75.133,4,https://i.scdn.co/image/ab67616d0000b2735e10a5aca3763224e2050016,https://open.spotify.com/track/1d8nSRQam4oz1J0TDS6nvk
1013,1Agl3uog2960NrNfpYbUUB,Du jazz dans le ravin,34,132173,0,['Serge Gainsbourg'],['01C9OoXDvCKkGcf735Tcfo'],1958-01-01,0.64,0.239,8,-16.325,1,0.151,0.835,1.17e-06,0.0846,0.567,128.191,4,https://i.scdn.co/image/ab67616d0000b27344b2548a56997646fc3b59af,https://open.spotify.com/track/1Agl3uog2960NrNfpYbUUB
1032,4jhAPY0Y3rIoOah3jXIn8M,Dos Almas,33,158627,0,"['Leo Marini', 'La Sonora Matancera']","['3Y5vifXLGyyHfY99BH73Ld', '01p7Homi0d4XxZ06f2NYYD']",1958-01-01,0.614,0.209,2,-11.98,0,0.037,0.85,0.000441,0.277,0.541,112.306,4,https://i.scdn.co/image/ab67616d0000b2733e9c88324ba2bd828ddfac12,https://open.spotify.com/track/4jhAPY0Y3rIoOah3jXIn8M
