,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,26,3d3aPk50dBMA2YbA7lC92r,Easy Living (with Teddy Wilson & His Orchestra),51,182400,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1933,0.64,0.23,8,-10.651,1,0.0624,0.965,5.36e-05,0.101,0.663,88.868,4,https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,https://open.spotify.com/track/3d3aPk50dBMA2YbA7lC92r
1,120,6QfGyzfwf7dm38Tmf49BpC,Everybody Loves a Lover,32,160467,0,['Doris Day'],['3ESG6pj6a0LvUKklENalT6'],1945,0.834,0.284,3,-13.497,1,0.102,0.657,2.4e-06,0.0676,0.684,92.224,4,https://i.scdn.co/image/ab67616d0000b273f2ee02ef38c965d5ebe540fa,https://open.spotify.com/track/6QfGyzfwf7dm38Tmf49BpC
2,173,43iaHz5dLnKRovc3DLQApU,El Mudo,42,139627,0,['La Sonora Santanera'],['3CsPxFJGyNa9ep79CFWN77'],1950,0.581,0.4,3,-16.394,1,0.048,0.88,0.000126,0.0676,0.982,93.13,4,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,https://open.spotify.com/track/43iaHz5dLnKRovc3DLQApU
3,176,6N2J5DrsKlfwrU851i5WPY,Enemigos,41,166693,0,['Sonia Lopez'],['412SQ2pwIYKv7NgaOg1uty'],1950,0.568,0.401,4,-8.641,0,0.0358,0.847,0.0,0.344,0.621,127.402,4,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,https://open.spotify.com/track/6N2J5DrsKlfwrU851i5WPY
4,181,6wD6ELX0mFyBzEMqhDp3F8,El Ladrón,38,166067,0,['La Sonora Santanera'],['3CsPxFJGyNa9ep79CFWN77'],1950,0.772,0.547,2,-17.303,0,0.0688,0.498,0.0443,0.0436,0.941,89.736,4,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,https://open.spotify.com/track/6wD6ELX0mFyBzEMqhDp3F8
5,182,5AMuWQfkvqbVpthKWV3dtS,El Botones,37,156307,0,['La Sonora Santanera'],['3CsPxFJGyNa9ep79CFWN77'],1950,0.737,0.398,10,-16.613,1,0.0495,0.811,0.000173,0.0587,0.98,87.294,4,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,https://open.spotify.com/track/5AMuWQfkvqbVpthKWV3dtS
6,197,50yIjigJPcVQQxrHHeai4H,"Etude in D-Sharp Minor, Op. 8, No. 12: Patetico - Remastered",43,130480,0,"['Alexander Scriabin', 'Vladimir Horowitz']","['6nZiWg5ZB511S24WmB7TCV', '4Ws5hSoABAwvGJ4LhHwHgq']",1951,0.361,0.292,1,-16.073,0,0.0362,0.986,0.887,0.151,0.338,72.153,5,https://i.scdn.co/image/ab67616d0000b27360ba4504f450227b6da44cde,https://open.spotify.com/track/50yIjigJPcVQQxrHHeai4H
7,290,5m3XMzewNg9EADweC7j7Nn,Embraceable You,39,291173,0,"['Sarah Vaughan', 'Clifford Brown']","['1bgyxtWjZwA5PQlDsvs9b8', '1HJHwWck1EY096ea2iPAHO']",1954-12-01,0.438,0.106,0,-14.939,1,0.0353,0.947,0.000103,0.147,0.0508,118.785,4,https://i.scdn.co/image/ab67616d0000b273b3a41184ba752731d19d8ef0,https://open.spotify.com/track/5m3XMzewNg9EADweC7j7Nn
8,326,3w6LdvrXM4a8C4cJrBa6M9,Esaal Alaya,32,383152,0,['Layla Mourad'],['4XmfbuyoQBGIMMbDXdFZJZ'],1954-01-01,0.333,0.251,0,-8.239,1,0.0368,0.896,0.0,0.393,0.535,84.096,4,https://i.scdn.co/image/ab67616d0000b2731cee93a622b997de1f7603d3,https://open.spotify.com/track/3w6LdvrXM4a8C4cJrBa6M9
9,337,4leHHwUSR0Vm5rjYvHhBEU,En Tu Pelo,60,180133,0,['Javier Solís'],['7jerD1mbWgyDukHAmCvdCj'],1955,0.458,0.425,4,-9.229,0,0.0351,0.899,0.0,0.152,0.818,145.366,4,https://i.scdn.co/image/ab67616d0000b27378efb10057760a6c5dbc0820,https://open.spotify.com/track/4leHHwUSR0Vm5rjYvHhBEU
