,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,19,5RXchQNEfOrsAtfklgYNnR,Fita Amarela,31,148219,0,"['Francisco Alves', 'Mario Reis']","['7pjGFyFFzIThPQNEfLRdiP', '0zh59roqkP8QYcrXGPuBJM']",1930-06-14,0.7,0.593,6,-5.837,1,0.181,0.983,8.3e-05,0.379,0.75,107.391,4,https://i.scdn.co/image/ab67616d0000b273987b4d3249812da77b89d855,https://open.spotify.com/track/5RXchQNEfOrsAtfklgYNnR
1,63,3nIpFMbuhstntUZT4FpuPG,Foolin' Myself (with Teddy Wilson & His Orchestra),44,179640,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1937,0.677,0.193,10,-11.26,1,0.0432,0.961,8.54e-06,0.1,0.481,92.877,4,https://i.scdn.co/image/ab67616d0000b273fb7a73d18dee3c5e60aa6701,https://open.spotify.com/track/3nIpFMbuhstntUZT4FpuPG
2,81,3CY0lHyrUgfJ7YLbA3DSy9,Follow The Yellow Brick Road / You're Off To See The Wizard,39,49573,0,"['Judy Garland', 'The Munchkins']","['0hItVPjwJLVZrFqOyIsxPf', '2IWke5993mDWWZpnEyqr1E']",1939-08-25,0.645,0.457,7,-17.502,1,0.0669,0.762,0.00716,0.083,0.977,135.696,4,https://i.scdn.co/image/ab67616d0000b2736893ceb167a556d6a9e068fd,https://open.spotify.com/track/3CY0lHyrUgfJ7YLbA3DSy9
3,135,3i8j2dKXChkErfi8jsDDuH,Frosty the Snowman (with The Cass County Boys) - 78rpm Version,38,173493,0,"['Gene Autry', 'Cass County Boys']","['5ixB75BQR3ADoWQkcHQJTs', '3zVRw5lZJyfP9KkI5dfncp']",1947,0.677,0.241,8,-11.133,1,0.0407,0.847,0.0,0.0523,0.963,172.315,4,https://i.scdn.co/image/ab67616d0000b27335e9a6f6a1eded2062526499,https://open.spotify.com/track/3i8j2dKXChkErfi8jsDDuH
4,150,6ZuemKMNOkPsP6aWMgehYs,Flor de Azalea,31,161200,0,['Los Panchos'],['3Ker27Wbb9OcUHGs54JIAz'],1948,0.729,0.569,10,-8.933,0,0.0334,0.743,0.0,0.418,0.776,111.296,4,https://i.scdn.co/image/ab67616d0000b2736663f9e7b8ca094390947d00,https://open.spotify.com/track/6ZuemKMNOkPsP6aWMgehYs
5,167,1MGpABVXGKWXZ5bxVOFF4N,Fooba Wooba John,31,66688,0,['Burl Ives'],['0MHgLfmQdutffmvWe5XBTN'],1949,0.518,0.324,2,-12.345,1,0.0552,0.598,0.0,0.0579,0.967,205.33,4,https://i.scdn.co/image/ab67616d0000b27345f60ad3b9d0dc474c021334,https://open.spotify.com/track/1MGpABVXGKWXZ5bxVOFF4N
6,188,0XyCZ2BftYxZ1zVPajDQpW,Fruto Robado,34,168067,0,['La Sonora Santanera'],['3CsPxFJGyNa9ep79CFWN77'],1950,0.476,0.255,2,-13.875,1,0.0365,0.727,0.000495,0.274,0.554,110.586,4,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,https://open.spotify.com/track/0XyCZ2BftYxZ1zVPajDQpW
7,199,7agwsApRblBWDQoFBU67US,Forever (And Always),36,150453,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1951,0.623,0.0946,7,-15.174,1,0.0293,0.69,7.68e-05,0.183,0.428,96.551,4,https://i.scdn.co/image/ab67616d0000b273e6bfdf4fdbeb5f7ff5445643,https://open.spotify.com/track/7agwsApRblBWDQoFBU67US
8,229,6wIIx1VBiE1J7FKxNPvtMa,Foggy Mountain Special,32,120840,0,['Flatt & Scruggs'],['1iNNWK8bYjc5EK0waLk1J1'],1952,0.618,0.497,8,-10.434,1,0.062,0.203,0.922,0.0841,0.977,109.371,4,https://i.scdn.co/image/ab67616d0000b2737773d04e7c92bb53fa8ba292,https://open.spotify.com/track/6wIIx1VBiE1J7FKxNPvtMa
9,277,4zbXcjtqBCRpVW2XvqUBVD,Fallaste Corazón / Del Cielo Cayó una Rosa,47,169640,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.451,0.0248,0,-17.694,1,0.0557,0.935,0.0,0.109,0.261,70.578,4,https://i.scdn.co/image/ab67616d0000b273071ffa1c21f686d6ae40b2ce,https://open.spotify.com/track/4zbXcjtqBCRpVW2XvqUBVD
