,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,27,41CHb7F7SXcmkj0h8wekeF,Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,51,190800,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1933,0.484,0.0823,7,-11.273,0,0.0364,0.98,2.47e-06,0.159,0.191,127.089,3,https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,https://open.spotify.com/track/41CHb7F7SXcmkj0h8wekeF
1,38,2JrkYswtbsdxOATXvGTlNf,Georgia On My Mind (with Eddie Heywood & His Orchestra) - Take 1,33,198560,0,"['Billie Holiday', 'Eddie Heywood']","['1YzCsTRb22dQkh9lghPIrp', '4Up5NIBDcGXsFk2lcsHaNG']",1933,0.489,0.0571,7,-16.976,0,0.0336,0.988,2.22e-05,0.161,0.273,80.172,4,https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,https://open.spotify.com/track/2JrkYswtbsdxOATXvGTlNf
2,82,33epO6drRAdk6jWlwBkqC2,Goodbye,36,198400,0,['Benny Goodman'],['1pBuKaLHJlIlqYxQQaflve'],1939,0.248,0.189,3,-13.594,0,0.0331,0.977,0.815,0.125,0.142,75.662,4,https://i.scdn.co/image/ab67616d0000b27397de22d8eeba688eac6cc459,https://open.spotify.com/track/33epO6drRAdk6jWlwBkqC2
3,118,1a8JNXclpuzv9Rx8KxBbIO,Got The Bottle Up And Gone,35,153260,0,['Sonny Boy Williamson I'],['1qxTNsrSi4fNXVO0sbMsl4'],1945,0.612,0.117,9,-15.357,1,0.177,0.99,0.00031,0.0788,0.781,172.444,4,https://i.scdn.co/image/ab67616d0000b2737b5e829e116bad07dd037e38,https://open.spotify.com/track/1a8JNXclpuzv9Rx8KxBbIO
4,153,5NGtFXVpXSvwunEIGeviY3,Gymnopédie No. 1,69,205867,0,"['Erik Satie', 'Philippe Entremont']","['459INk8vcC0ebEef82WjIK', '4x2fCu6MNErew0pb64yOBO']",1949,0.469,0.0128,7,-36.856,1,0.119,0.994,0.937,0.0941,0.354,72.765,3,https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08,https://open.spotify.com/track/5NGtFXVpXSvwunEIGeviY3
5,154,0hZBK2IS2uKdWVwEWXX1vB,Gymnopédie No. 3,53,175427,0,"['Erik Satie', 'Philippe Entremont']","['459INk8vcC0ebEef82WjIK', '4x2fCu6MNErew0pb64yOBO']",1949,0.508,0.00766,9,-37.783,0,0.0975,0.991,0.873,0.0732,0.588,130.918,4,https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08,https://open.spotify.com/track/0hZBK2IS2uKdWVwEWXX1vB
6,155,5SBERonheeqbIhNqPTctU6,Gymnopédie No. 2,48,194893,0,"['Erik Satie', 'Philippe Entremont']","['459INk8vcC0ebEef82WjIK', '4x2fCu6MNErew0pb64yOBO']",1949,0.489,0.00243,2,-35.804,0,0.0896,0.992,0.963,0.0804,0.35,67.452,3,https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08,https://open.spotify.com/track/5SBERonheeqbIhNqPTctU6
7,163,3r2XkV0axjHZlpNsW3tpL3,Guaglione,33,143773,0,['Pérez Prado'],['1ZKhPkCXXgtiGgALn4OYtT'],1949,0.601,0.658,2,-13.354,1,0.0366,0.264,0.000138,0.34,0.941,87.276,4,https://i.scdn.co/image/ab67616d0000b273bbba3121c90587fa632aa3fd,https://open.spotify.com/track/3r2XkV0axjHZlpNsW3tpL3
8,201,2GxivWUFL0TRT1nHce14MM,Get in Line Brother,34,141600,0,['Flatt & Scruggs'],['1iNNWK8bYjc5EK0waLk1J1'],1951,0.567,0.417,10,-10.504,1,0.0329,0.692,0.0,0.339,0.835,134.408,4,https://i.scdn.co/image/ab67616d0000b273120a9f67b60d402473f93868,https://open.spotify.com/track/2GxivWUFL0TRT1nHce14MM
9,218,5fWf6gj5RE9nma0nyOSuZ6,Good Morning,37,254440,0,"['Gene Kelly', 'Debbie Reynolds', ""Donald O'Connor""]","['1mhlGWeiNrWnhJJc2EufYk', '4Zf0pLGYwNB86Y97kisvkn', '6JGPCu8A5iBnvYuGx5vKP0']",1952-04-11,0.444,0.42,2,-9.85,1,0.0495,0.723,3.77e-05,0.123,0.507,105.751,4,https://i.scdn.co/image/ab67616d0000b273701dfe48ddb212fc32189dcd,https://open.spotify.com/track/5fWf6gj5RE9nma0nyOSuZ6
10,287,2FmYKtcSZbKUIDbIu6UalF,Grítenme Piedras del Campo,41,173400,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.379,0.194,0,-14.048,1,0.0722,0.607,0.0,0.362,0.738,177.168,3,https://i.scdn.co/image/ab67616d0000b273071ffa1c21f686d6ae40b2ce,https://open.spotify.com/track/2FmYKtcSZbKUIDbIu6UalF
