,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,16,7CIoJE0JfVFcmmUY3fFojH,"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244/2",48,541600,0,"['Franz Liszt', 'Vladimir Horowitz']","['1385hLNbrnbCJGokfH2ac2', '4Ws5hSoABAwvGJ4LhHwHgq']",1930,0.349,0.326,1,-15.347,1,0.0551,0.987,0.886,0.784,0.168,80.233,4,https://i.scdn.co/image/ab67616d0000b27338557ed7e3ce34225e28d4c0,https://open.spotify.com/track/7CIoJE0JfVFcmmUY3fFojH
1,42,4MlMvlC6RejgsoJyD3sUC2,He Ain't Got Rhythm (with Teddy Wilson & His Orchestra),31,169493,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1933,0.743,0.261,1,-10.289,1,0.0618,0.793,8.62e-06,0.149,0.814,88.275,4,https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,https://open.spotify.com/track/4MlMvlC6RejgsoJyD3sUC2
2,55,2KkJj006V93x8d9dXpgmIg,Hellhound on My Trail,36,154467,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1936,0.546,0.169,6,-13.852,0,0.0377,0.976,3.15e-05,0.133,0.549,96.297,4,https://i.scdn.co/image/ab67616d0000b2731dbb341963b1e8bd7eb57885,https://open.spotify.com/track/2KkJj006V93x8d9dXpgmIg
3,72,5xjG7nV5ncQAHkuifsz4v3,Hell Hound On My Trail,31,157867,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1937,0.588,0.146,9,-12.154,1,0.0354,0.938,1.66e-05,0.111,0.394,96.094,4,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,https://open.spotify.com/track/5xjG7nV5ncQAHkuifsz4v3
4,103,030mot3ZKR3oskfMsqDB2R,Have Yourself A Merry Little Christmas,50,162333,0,['Judy Garland'],['0hItVPjwJLVZrFqOyIsxPf'],1944-01-01,0.156,0.184,6,-14.82,1,0.0393,0.97,0.00458,0.26,0.107,180.887,3,https://i.scdn.co/image/ab67616d0000b2737a4455634c11f5b75d6e2999,https://open.spotify.com/track/030mot3ZKR3oskfMsqDB2R
5,130,25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,49,150267,0,['Gene Autry'],['5ixB75BQR3ADoWQkcHQJTs'],1947,0.834,0.371,1,-11.99,1,0.0358,0.799,0.0,0.275,0.976,96.628,4,https://i.scdn.co/image/ab67616d0000b27335e9a6f6a1eded2062526499,https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo
6,144,5vIe5BmOlPXarqRxJh9FNE,Half As Much (with Percy Faith & His Orchestra),38,166373,0,"['Rosemary Clooney', 'Percy Faith & His Orchestra']","['0NkyXWGxE3WTFixDSJ39PK', '24DQLSng7bKZD4GXLIaQbv']",1948,0.277,0.189,10,-12.424,1,0.0329,0.944,0.0,0.232,0.208,86.655,1,https://i.scdn.co/image/ab67616d0000b273a1bd4e463daa74b780125e9a,https://open.spotify.com/track/5vIe5BmOlPXarqRxJh9FNE
7,147,1EVc5KRqmSEjLGtERnDqay,Happy Easter,34,150627,0,"['Fred Astaire', 'MGM Studio Chorus']","['4BtDAwCZhR6nPrJtbVgQNX', '5dmuBOlipco9YnYwCbN5PW']",1948-07-08,0.617,0.156,0,-18.448,0,0.0393,0.989,0.00438,0.134,0.652,79.643,4,https://i.scdn.co/image/ab67616d0000b27308337e8b1c36ed8eddaabf77,https://open.spotify.com/track/1EVc5KRqmSEjLGtERnDqay
8,159,0oxUZhytpftSGgBGDVlCMb,Here Comes Santa Claus (Right Down Santa Claus Lane),40,183413,0,"['Bing Crosby', 'The Andrews Sisters']","['6ZjFtWeHP9XN7FeKSUe80S', '2NCGI6dLTxLdI9XHdv7QfM']",1949-01-01,0.627,0.337,1,-6.521,1,0.0436,0.851,0.0,0.356,0.734,151.691,4,https://i.scdn.co/image/ab67616d0000b273fce7d70d2533743bc5833a66,https://open.spotify.com/track/0oxUZhytpftSGgBGDVlCMb
9,203,69yWrxyv3AZc1S9usRdMAq,How D'Ya Like Your Eggs In The Morning,33,169600,0,"['Dean Martin', ""Helen O'Connell""]","['49e4v89VmlDcFCMyDv9wQ9', '0uQXiLK3wKmucUs9fAKx4I']",1951,0.697,0.252,2,-8.927,1,0.0431,0.906,0.0,0.281,0.811,132.916,4,https://i.scdn.co/image/ab67616d0000b2731888bb79ceb16b4db9210b8f,https://open.spotify.com/track/69yWrxyv3AZc1S9usRdMAq
