,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,10,0EzykG4pYlmmGTihakWGRL,It's Nobody's Fault but Mine,43,188533,0,['Blind Willie Johnson'],['5kO4xdEKLuHHHPreu3UmkZ'],1928,0.676,0.252,3,-14.01,1,0.039,0.98,7.38e-05,0.11,0.483,83.901,4,https://i.scdn.co/image/ab67616d0000b273ca26ce52fd1ac32db22ecacc,https://open.spotify.com/track/0EzykG4pYlmmGTihakWGRL
1,15,57sdRcA5sfIFOKFjReXp2P,I Can't Believe That You're In Love With Me,43,183960,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1929,0.579,0.203,0,-12.631,1,0.0745,0.931,0.00274,0.0787,0.766,157.885,4,https://i.scdn.co/image/ab67616d0000b273ea98b57fdcecd7e3c115c8a8,https://open.spotify.com/track/57sdRcA5sfIFOKFjReXp2P
2,30,24I4Tp825sk8dSSxj6NgBq,If You Were Mine (with Teddy Wilson & His Orchestra),42,189867,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1933,0.615,0.115,8,-16.557,1,0.0397,0.968,0.00061,0.127,0.404,105.704,4,https://i.scdn.co/image/ab67616d0000b27320c18fa281afe0defb49e629,https://open.spotify.com/track/24I4Tp825sk8dSSxj6NgBq
3,32,4bzlYe7fAUJ2YtsXMwv4MX,I Can't Give You Anything but Love (with Teddy Wilson & His Orchestra),36,206640,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1933,0.699,0.24,3,-10.181,0,0.034,0.969,0.00286,0.147,0.56,96.547,4,https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,https://open.spotify.com/track/4bzlYe7fAUJ2YtsXMwv4MX
4,40,3jo0ueWLfBnouRVKKZIHUw,I Cover the Waterfront,33,175560,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1933,0.531,0.107,6,-12.904,1,0.0358,0.978,9.13e-06,0.15,0.295,76.245,4,https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,https://open.spotify.com/track/3jo0ueWLfBnouRVKKZIHUw
5,44,6mkXQQmipzkFy5dZZ35UcC,It Ain't Necessarily So,31,142347,0,"['George Gershwin', 'Jascha Heifetz', 'Brooks Smith']","['1YuknfkSYTTbolRpwZBOv4', '7yaBUcdjmqPP2vIv6F5bFD', '2i5UeaKmlwgjCBCFiSg8DL']",1934,0.397,0.133,2,-18.558,0,0.0462,0.946,0.17,0.103,0.325,106.359,4,https://i.scdn.co/image/ab67616d0000b27359669370931b4fefe5fc5722,https://open.spotify.com/track/6mkXQQmipzkFy5dZZ35UcC
6,56,6jFbvFjbFSphuXZVr4xWO5,I Believe I'll Dust My Broom,35,177200,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1936,0.697,0.215,9,-13.85,1,0.0898,0.967,0.00486,0.0837,0.753,102.872,4,https://i.scdn.co/image/ab67616d0000b2731dbb341963b1e8bd7eb57885,https://open.spotify.com/track/6jFbvFjbFSphuXZVr4xWO5
7,69,0qQO20B9I3SdAWFP5Qpbtu,In An 18th Century Drawing Room,34,156467,0,['Raymond Scott'],['31DffUzogcRBJT3Andaqtt'],1937,0.812,0.252,5,-12.249,1,0.0736,0.906,0.792,0.195,0.952,114.031,4,https://i.scdn.co/image/ab67616d0000b27390911fd5a3224597f28e6e0f,https://open.spotify.com/track/0qQO20B9I3SdAWFP5Qpbtu
8,78,54h1RKrrFJDsNOfhwmqu9o,In the Mood - Live,52,209573,0,['Glenn Miller'],['2aAHdB5HweT3mFcRzm0swc'],1939,0.463,0.654,8,-9.72,1,0.0659,0.824,0.917,0.372,0.592,175.204,4,https://i.scdn.co/image/ab67616d0000b2737322bf3bcd991ebf28b8b352,https://open.spotify.com/track/54h1RKrrFJDsNOfhwmqu9o
9,80,0feqkkD0tgAZddC0uB3uwU,If I Only Had A Brain - Extended Version,40,224507,0,"['Ray Bolger', 'Judy Garland']","['2AFiUmVJVOF5yUjt51Yx88', '0hItVPjwJLVZrFqOyIsxPf']",1939-08-25,0.477,0.342,7,-15.321,1,0.0725,0.831,0.0405,0.191,0.905,151.335,4,https://i.scdn.co/image/ab67616d0000b2736893ceb167a556d6a9e068fd,https://open.spotify.com/track/0feqkkD0tgAZddC0uB3uwU
