Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
256,6g6IumW57HO2qaxZ2mt8Vo,Just Blew In from the Windy City,31,128667,0,['Doris Day & With Orchestra'],['0lKF0Y8424PAb8sorr3bgY'],1953-11-09,0.558,0.422,0,-9.403,1,0.203,0.786,0.0,0.218,0.724,201.582,4,https://i.scdn.co/image/ab67616d0000b273b512c03855b31d9deeb6cc43,https://open.spotify.com/track/6g6IumW57HO2qaxZ2mt8Vo
273,2oMaXY0yiWhAEWD7SutXh2,Joy Spring,48,410667,0,"['Clifford Brown', 'Max Roach Quintet']","['1HJHwWck1EY096ea2iPAHO', '6ynifrh6ZrWXHAywnUlNV3']",1954-12-01,0.654,0.334,8,-12.662,1,0.0521,0.702,0.714,0.114,0.697,81.544,4,https://i.scdn.co/image/ab67616d0000b273b293b5ad2d7830fdbe2f06a3,https://open.spotify.com/track/2oMaXY0yiWhAEWD7SutXh2
298,5Oa3dwYqt3Mz9MGWSkTV41,Just One Of Those Things - Remastered 1998,37,192821,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1954-01-01,0.682,0.174,7,-13.035,1,0.0402,0.908,0.0,0.108,0.325,75.515,3,https://i.scdn.co/image/ab67616d0000b273e9d63c8daf1387dcc8fc7958,https://open.spotify.com/track/5Oa3dwYqt3Mz9MGWSkTV41
303,1pH0uvTTjAMvCcbp5NEHJk,Jordu,35,470333,0,"['Clifford Brown', 'Max Roach Quintet']","['1HJHwWck1EY096ea2iPAHO', '6ynifrh6ZrWXHAywnUlNV3']",1954-12-01,0.551,0.334,7,-15.521,0,0.044,0.655,0.134,0.359,0.53,137.313,4,https://i.scdn.co/image/ab67616d0000b273b293b5ad2d7830fdbe2f06a3,https://open.spotify.com/track/1pH0uvTTjAMvCcbp5NEHJk
314,1cxBehMLI8smC0EAx0I0Ut,Jim,34,354493,0,"['Sarah Vaughan', 'Clifford Brown']","['1bgyxtWjZwA5PQlDsvs9b8', '1HJHwWck1EY096ea2iPAHO']",1954-12-01,0.421,0.0846,1,-16.626,1,0.0392,0.928,7.17e-06,0.114,0.154,96.744,4,https://i.scdn.co/image/ab67616d0000b273b3a41184ba752731d19d8ef0,https://open.spotify.com/track/1cxBehMLI8smC0EAx0I0Ut
316,21UJyo1YGUlm0G8BpaljTf,Jive At Six,34,251093,0,['Ben Webster'],['34W7ZCX0LZeJd8q6boKGOk'],1954-01-01,0.484,0.438,2,-10.011,1,0.0422,0.729,0.0683,0.0524,0.79,171.204,4,https://i.scdn.co/image/ab67616d0000b27307d379f4544e5d2747b6e9b7,https://open.spotify.com/track/21UJyo1YGUlm0G8BpaljTf
335,2oXMqgfax78bD1nKXU3rEA,Jeepers Creepers - Remastered 1998,31,141275,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1954-01-01,0.66,0.311,7,-8.71,1,0.045,0.738,0.0,0.107,0.649,142.849,3,https://i.scdn.co/image/ab67616d0000b273e9d63c8daf1387dcc8fc7958,https://open.spotify.com/track/2oXMqgfax78bD1nKXU3rEA
349,6DKn746e2xiOIe8nNsd72S,Johnny be good - Radio Version,46,159884,0,['Jonny Bombastic'],['4JhP4pww8N1i0ssJEKrJn1'],1955,0.63,0.856,5,-2.511,0,0.0523,0.634,0.00195,0.243,0.931,167.641,4,https://i.scdn.co/image/ab67616d0000b27377bbfdff7807361367bf496e,https://open.spotify.com/track/6DKn746e2xiOIe8nNsd72S
359,6RqomqKVORIwNJCKNxvc3F,Just Friends,43,181493,0,['Sarah Vaughan'],['1bgyxtWjZwA5PQlDsvs9b8'],1955-04-12,0.203,0.306,10,-12.366,0,0.0344,0.952,0.000307,0.281,0.0625,76.905,4,https://i.scdn.co/image/ab67616d0000b2737bc42f3bfb5b7cfe28fbee25,https://open.spotify.com/track/6RqomqKVORIwNJCKNxvc3F
374,4J95SuEpPSrlmeWD8WxsK5,Jézébel,36,173373,0,['Charles Aznavour'],['2hgP9Ap2tc10R5jrQaEpMT'],1955,0.374,0.208,2,-14.159,0,0.0367,0.854,0.0,0.456,0.411,151.867,4,https://i.scdn.co/image/ab67616d0000b2736811d20a4d337e2298a7306c,https://open.spotify.com/track/4J95SuEpPSrlmeWD8WxsK5
434,0NI42v4l2AxIbgoIrWKiBU,Just A Gigolo / I Ain't Got Nobody - Medley / Remastered,55,284893,0,"['Louis Prima', 'Keely Smith', 'Sam Butera & The Witnesses']","['52lBOxCxbJg0ttXEW9CQpW', '0vQqxnQk1G32RtjSAFq3z1', '70njzKgLbLbWkCPhKEu2oV']",1956-11-01,0.519,0.638,8,-5.226,1,0.0942,0.683,0.0,0.0561,0.67,124.878,4,https://i.scdn.co/image/ab67616d0000b2732ad545d5e334210c993c5648,https://open.spotify.com/track/0NI42v4l2AxIbgoIrWKiBU
444,24dYJMPdnXXoHEu50MwRVN,Jamaica Farewell - Remastered,50,184907,0,['Harry Belafonte'],['6Tw1ktF4xMmzaLLbe98I2z'],1956,0.596,0.142,2,-19.882,1,0.0867,0.962,1.71e-05,0.093,0.695,144.424,4,https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95,https://open.spotify.com/track/24dYJMPdnXXoHEu50MwRVN
467,2JknWUrnGsGYOh62EQNktb,"Jump, Jive, An' Wail - Remastered",45,211067,0,"['Louis Prima', 'Keely Smith', 'Sam Butera & The Witnesses']","['52lBOxCxbJg0ttXEW9CQpW', '0vQqxnQk1G32RtjSAFq3z1', '70njzKgLbLbWkCPhKEu2oV']",1956-11-01,0.632,0.769,5,-6.627,0,0.0701,0.766,5.05e-06,0.0595,0.848,101.927,4,https://i.scdn.co/image/ab67616d0000b2732ad545d5e334210c993c5648,https://open.spotify.com/track/2JknWUrnGsGYOh62EQNktb
