,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,125,44X3wBWJkqZucNHbYU6Wk9,Kentucky Waltz,36,166160,0,['Bill Monroe'],['5CWbfANRpZbnxdstzcNg5H'],1946,0.568,0.196,2,-13.042,1,0.0325,0.866,0.129,0.229,0.565,123.302,3,https://i.scdn.co/image/ab67616d0000b273ee0685013c81d1aa70c6de31,https://open.spotify.com/track/44X3wBWJkqZucNHbYU6Wk9
1,219,1IAMWO6YGFzwagaGtBSuD1,Kiss,36,145067,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,0.304,0.121,9,-17.057,1,0.0354,0.892,0.0224,0.115,0.173,66.319,4,https://i.scdn.co/image/ab67616d0000b2738ddbf9277a03e7d734485b31,https://open.spotify.com/track/1IAMWO6YGFzwagaGtBSuD1
2,352,6CpHznEM3XknffOqhduhg0,Kiss Of Fire,45,186573,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1955-01-01,0.624,0.272,5,-10.26,0,0.0728,0.954,1.57e-06,0.434,0.563,97.965,4,https://i.scdn.co/image/ab67616d0000b2731eecf25ccdcb5f3b8ca4ceb6,https://open.spotify.com/track/6CpHznEM3XknffOqhduhg0
3,584,0d6m2xfXqMyEKOeRvfL7Ot,Koko - Original Take 2,31,173733,0,['Charlie Parker'],['4Ww5mwS7BWYjoZTUIrMHfC'],1956-01-01,0.484,0.488,5,-9.127,0,0.048,0.867,0.141,0.147,0.426,149.977,4,https://i.scdn.co/image/ab67616d0000b273592d72636a749db1ddeab822,https://open.spotify.com/track/0d6m2xfXqMyEKOeRvfL7Ot
4,637,2luRltDp0ZG4ORi3lA8NsB,Kisses Sweeter Than Wine,46,142333,0,['Jimmie Rodgers'],['7bKOOOKEkE918wKOQEhYnp'],1957,0.497,0.318,6,-12.974,1,0.0597,0.672,0.0,0.0783,0.696,162.104,4,https://i.scdn.co/image/ab67616d0000b273fff8623d7d0a5563a964aef3,https://open.spotify.com/track/2luRltDp0ZG4ORi3lA8NsB
5,695,2sM3SQwxMsIkAtftW7Fl4w,Khosara,39,420873,0,['Abdel Halim Hafez'],['6IW026WCYU8L1WF79dfwss'],1957-01-01,0.366,0.317,2,-9.575,1,0.0398,0.837,0.0,0.109,0.437,144.829,4,https://i.scdn.co/image/ab67616d0000b27340e5354a2218a22e44689c1c,https://open.spotify.com/track/2sM3SQwxMsIkAtftW7Fl4w
6,864,5PK7WXObjGgZrtGOo5FBTW,King Creole,51,127813,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1958-09-19,0.412,0.55,10,-9.173,1,0.0528,0.846,0.0,0.0851,0.907,81.814,4,https://i.scdn.co/image/ab67616d0000b273bcaf1f8c19da67c919589434,https://open.spotify.com/track/5PK7WXObjGgZrtGOo5FBTW
7,965,20cqpJq6UspwjawaL6o1dF,Kisi Ki Muskurahaton Se,38,269333,0,['Mukesh'],['4etv0ut4ws0GbXBtolzf5e'],1958-02-03,0.394,0.303,0,-13.401,0,0.0486,0.75,2.04e-05,0.0656,0.837,207.806,4,https://i.scdn.co/image/ab67616d0000b273b1b23c1be7dfa98cbb878857,https://open.spotify.com/track/20cqpJq6UspwjawaL6o1dF
8,998,49tUjyvnM7HjVoSrLhq4y5,Kawohikukupulani,35,146733,0,['Arthur Lyman'],['4UAjW7ABQfMm5F88xCtQln'],1958,0.318,0.00258,5,-35.697,1,0.0409,0.976,0.946,0.106,0.353,143.589,4,https://i.scdn.co/image/ab67616d0000b273d4f212060f0c60150493db06,https://open.spotify.com/track/49tUjyvnM7HjVoSrLhq4y5
9,1078,0NwyxchEawg8eL8EO2A1DZ,Khovanshchina: Dawn on the Moskva River,31,298000,0,"['Modest Mussorgsky', 'George Szell', 'Cleveland Orchestra']","['284mnx33IWcymQEpMxyfHl', '2CFaOiHKik5FgNGzZJ08sx', '0jJszR81GjA87jeRq0Jgwz']",1958,0.151,0.0576,6,-24.513,1,0.0436,0.939,0.77,0.0875,0.0371,99.002,4,https://i.scdn.co/image/ab67616d0000b273fcbdcd8177b74983a3f1a9f0,https://open.spotify.com/track/0NwyxchEawg8eL8EO2A1DZ
