,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,0,2wAfHM7Whz67VFbdanhZlk,Nobody Knows You When You're Down and Out,41,177133,0,['Bessie Smith'],['5ESobCkc6JI4tIMxQttqeg'],1923,0.614,0.0423,4,-12.033,1,0.0535,0.996,0.00293,0.183,0.211,89.822,4,https://i.scdn.co/image/ab67616d0000b2732f98faab8c3acc66c283cdee,https://open.spotify.com/track/2wAfHM7Whz67VFbdanhZlk
1,100,4Pnzw1nLOpDNV6MKI5ueIR,Nancy (With the Laughing Face) - 78rpm Version,55,199000,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1944,0.295,0.0826,1,-19.569,1,0.0367,0.984,0.000358,0.156,0.169,128.6,3,https://i.scdn.co/image/ab67616d0000b27341838b74bfc4a5cb384841bf,https://open.spotify.com/track/4Pnzw1nLOpDNV6MKI5ueIR
2,105,14Tgtsa8TG8D9OewIe91m2,Night and Day,38,218093,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1944,0.169,0.147,2,-16.491,1,0.0336,0.906,1.19e-06,0.229,0.152,174.301,3,https://i.scdn.co/image/ab67616d0000b27341838b74bfc4a5cb384841bf,https://open.spotify.com/track/14Tgtsa8TG8D9OewIe91m2
3,124,2DMWqdcuYP9YbzAscFsolI,"Nocturnes, Op. 27: No. 2 in D-Flat Major",38,367827,0,"['Frédéric Chopin', 'Arthur Rubinstein']","['7y97mc3bZRFXzT2szRM4L4', '5N1GUHhFMRFFgMTjSOJDb9']",1946,0.288,0.0209,1,-26.683,1,0.0401,0.992,0.914,0.123,0.0427,76.916,3,https://i.scdn.co/image/ab67616d0000b27326b4106d7f1ed39dcfb52763,https://open.spotify.com/track/2DMWqdcuYP9YbzAscFsolI
4,151,02uxo5RZQTATXzPP673pGa,"No, No y No",31,173067,0,['Los Panchos'],['3Ker27Wbb9OcUHGs54JIAz'],1948,0.799,0.371,9,-9.394,1,0.0585,0.925,1.43e-05,0.105,0.631,113.556,5,https://i.scdn.co/image/ab67616d0000b2736663f9e7b8ca094390947d00,https://open.spotify.com/track/02uxo5RZQTATXzPP673pGa
5,220,0cvA7oe0YMEOl5L017P9lq,Now's The Time,36,181707,0,['Charlie Parker Quartet'],['5GBe2GMfPm3IFagD5XuKKs'],1952-12-12,0.478,0.534,5,-9.985,1,0.0386,0.485,0.00425,0.188,0.673,100.317,4,https://i.scdn.co/image/ab67616d0000b273aeb39f276dde87a22496665f,https://open.spotify.com/track/0cvA7oe0YMEOl5L017P9lq
6,258,61A6gn4tv1FEIDaV5sUVyc,"No. 7, Träumerei",31,183280,0,"['Robert Schumann', 'Van Cliburn']","['2UqjDAXnDxejEyE0CzfUrZ', '1RMjtNqKOM6V36EngDqEBw']",1953,0.592,0.00908,5,-31.102,1,0.0664,0.993,0.907,0.126,0.48,100.166,4,https://i.scdn.co/image/ab67616d0000b2733bd78d11bb721874ba0818ff,https://open.spotify.com/track/61A6gn4tv1FEIDaV5sUVyc
7,259,0yLLm1xlkcms3pDhKCf8iv,Non Dimenticar,31,179667,0,['Percy Faith & His Orchestra'],['24DQLSng7bKZD4GXLIaQbv'],1953,0.156,0.34,2,-12.952,1,0.0317,0.929,0.939,0.449,0.124,81.86,4,https://i.scdn.co/image/ab67616d0000b273305d0d7ce3dbf3f54508af6d,https://open.spotify.com/track/0yLLm1xlkcms3pDhKCf8iv
8,282,75GHlj4u91Omv8Q2Xcvlnc,No Soy Monedita de Oro,43,189467,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.569,0.133,9,-15.379,1,0.0359,0.65,0.0,0.115,0.718,86.986,4,https://i.scdn.co/image/ab67616d0000b273071ffa1c21f686d6ae40b2ce,https://open.spotify.com/track/75GHlj4u91Omv8Q2Xcvlnc
9,299,3agHxWiFTSPZzTgW4mgGwL,Nuestro Gran Amor,36,171507,0,['Cuco Sánchez'],['1M1VkVEy3JGFFyPy7oKH2E'],1954,0.444,0.0811,10,-17.278,1,0.0355,0.927,0.0,0.148,0.247,96.216,3,https://i.scdn.co/image/ab67616d0000b273071ffa1c21f686d6ae40b2ce,https://open.spotify.com/track/3agHxWiFTSPZzTgW4mgGwL
10,312,1F0SfXBj09dJOjvt579H7v,Nathalie,34,255451,0,['Los Hermanos Arriagada'],['46E2EFuD1UFO1H7az7hoB6'],1954-01-19,0.484,0.24,10,-14.282,0,0.0595,0.617,0.0,0.155,0.708,130.869,4,https://i.scdn.co/image/ab67616d0000b273464baa5eab074e80c172cfbb,https://open.spotify.com/track/1F0SfXBj09dJOjvt579H7v
11,366,1owGm6QDclYTJ40SMz97rW,No Moon At All - Remastered,39,113573,0,['Julie London'],['3qUMmh5biaB5hqpF4LqS3m'],1955-12-01,0.703,0.161,7,-12.637,1,0.129,0.927,1.34e-05,0.102,0.269,62.561,4,https://i.scdn.co/image/ab67616d0000b273320b023f0b74149959eb8069,https://open.spotify.com/track/1owGm6QDclYTJ40SMz97rW
