Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
79,568SEFtDjKr7N2PytpA6D5,Over The Rainbow,43,165240,0,['Judy Garland'],['0hItVPjwJLVZrFqOyIsxPf'],1939-08-25,0.191,0.0461,8,-21.192,1,0.0415,0.907,0.000299,0.151,0.226,84.687,4,https://i.scdn.co/image/ab67616d0000b2736893ceb167a556d6a9e068fd,https://open.spotify.com/track/568SEFtDjKr7N2PytpA6D5
89,6YSqgWIvzhQsnCeYwWde2s,On the Sunny Side of the Street,41,190573,0,['Peggy Lee'],['602DnpaSXJB4b9DZrvxbDc'],1941,0.794,0.174,7,-13.544,0,0.0388,0.945,0.00725,0.276,0.656,121.843,4,https://i.scdn.co/image/ab67616d0000b2737f71e2ec2998ad2ec2ec89e8,https://open.spotify.com/track/6YSqgWIvzhQsnCeYwWde2s
148,1utyEW4Qf1F5jeqhJSLT6g,O mio babbino caro from Gianni Schicchi,33,146360,0,"['Giacomo Puccini', 'Kiri Te Kanawa', 'Sir John Pritchard']","['0OzxPXyowUEQ532c9AmHUR', '3fcsflK8xu26XH4OYTcm5T', '5Zkrloooz9qNDnHUf0q1UP']",1948,0.237,0.0863,8,-20.004,1,0.0422,0.984,3.34e-05,0.114,0.0788,92.297,3,https://i.scdn.co/image/ab67616d0000b2735716ed780db3a0bb1aac4913,https://open.spotify.com/track/1utyEW4Qf1F5jeqhJSLT6g
171,1oG967FC3aVAMgEcZMyjlY,OPM Medley: When I Met You,45,557987,0,['Freestyle'],['0jarApAsbmiCkYhz0590mE'],1950-01-01,0.402,0.486,10,-10.941,1,0.0487,0.434,0.0,0.979,0.298,86.923,4,https://i.scdn.co/image/ab67616d0000b2731ac51fcf98cec0c5aea2b02f,https://open.spotify.com/track/1oG967FC3aVAMgEcZMyjlY
208,0WyEmh5EB5e7y3Ve4lzJLR,Old Devil Moon,31,223067,0,['Ahmad Jamal'],['6gc6oo3u2f7SqTd4mhe81O'],1951,0.621,0.0564,7,-20.148,0,0.0486,0.99,0.778,0.137,0.222,121.241,4,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,https://open.spotify.com/track/0WyEmh5EB5e7y3Ve4lzJLR
261,3wAIcORchxdSkWv6v5AkaU,Over The Rainbow,60,167467,0,['Judy Garland'],['0hItVPjwJLVZrFqOyIsxPf'],1954-01-01,0.204,0.161,8,-15.191,1,0.0336,0.972,8.99e-05,0.121,0.316,82.009,4,https://i.scdn.co/image/ab67616d0000b2736e3b5ceb469f5a2e66854c78,https://open.spotify.com/track/3wAIcORchxdSkWv6v5AkaU
318,78N4D2m9rt9sYmniEr6RIm,Once In A While,33,194880,0,['Jackie Gleason'],['2F0kPpQ5mtta1ORIyO2xex'],1954-08-02,0.145,0.25,1,-12.34,1,0.0367,0.92,0.795,0.102,0.163,64.837,4,https://i.scdn.co/image/ab67616d0000b27393ec2cea659906615fd35e35,https://open.spotify.com/track/78N4D2m9rt9sYmniEr6RIm
480,6Xuv39iEu7e9AluYQ6BY9X,O Sole Mio (My Sunshine),43,162707,0,['Jerry Vale'],['5MaJrqhwysKwbvDePyAS6l'],1956,0.186,0.227,5,-13.088,1,0.0338,0.921,0.000245,0.286,0.197,88.942,4,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3,https://open.spotify.com/track/6Xuv39iEu7e9AluYQ6BY9X
506,4qCQh7NCxDzeSivKQO0aHB,Out Of The Blue - Album - Remastered,39,379413,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1956,0.488,0.469,7,-10.248,0,0.0374,0.797,0.0246,0.0998,0.772,94.837,4,https://i.scdn.co/image/ab67616d0000b273ff7cfced9d60b27c97da7421,https://open.spotify.com/track/4qCQh7NCxDzeSivKQO0aHB
514,7I1fvnqfxVPeS5j1cylbCT,"Oh, Marie",38,148000,0,"['Louis Prima', 'Keely Smith', 'Sam Butera & The Witnesses']","['52lBOxCxbJg0ttXEW9CQpW', '0vQqxnQk1G32RtjSAFq3z1', '70njzKgLbLbWkCPhKEu2oV']",1956-11-01,0.647,0.819,0,-5.551,1,0.0655,0.54,1.48e-05,0.128,0.839,111.851,4,https://i.scdn.co/image/ab67616d0000b2732ad545d5e334210c993c5648,https://open.spotify.com/track/7I1fvnqfxVPeS5j1cylbCT
541,0AykdQHQQv8GFTcWCRa9q9,Old Devil Moon - Remastered 1998,35,236533,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1956-03,0.475,0.227,10,-12.879,1,0.0288,0.482,0.0,0.179,0.422,100.99,4,https://i.scdn.co/image/ab67616d0000b273b9ea1c69fe9efbdc2df85a95,https://open.spotify.com/track/0AykdQHQQv8GFTcWCRa9q9
544,7noWm4lKCBIiQThaIX5oEK,One-Sided Love Affair,35,129480,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-03-23,0.628,0.79,7,-7.458,1,0.0619,0.697,0.0,0.255,0.855,94.856,4,https://i.scdn.co/image/ab67616d0000b273f45cec7e72b9dec993c18872,https://open.spotify.com/track/7noWm4lKCBIiQThaIX5oEK
561,29qA9vzRpqMyMFzTFqbP2X,On the Street Where You Live,33,176600,0,['John Michael King'],['0z8AigiXiBnTL66jPDtYby'],1956,0.339,0.305,0,-10.049,1,0.0307,0.941,3.33e-05,0.185,0.357,76.962,4,https://i.scdn.co/image/ab67616d0000b27338ccdabf36c9d1a6fa227e6e,https://open.spotify.com/track/29qA9vzRpqMyMFzTFqbP2X
587,3M3p4B9xCOFB4WRtqcz38F,Old Shep,31,248960,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-10-19,0.307,0.0705,7,-16.135,1,0.0354,0.92,8.23e-05,0.109,0.164,60.791,5,https://i.scdn.co/image/ab67616d0000b273e3b1cdbb2095804f83056bcd,https://open.spotify.com/track/3M3p4B9xCOFB4WRtqcz38F
610,67hwwxmDrx5UYmGRSm7bHw,Oh Boy!,52,128960,0,['Buddy Holly & The Crickets'],['15jBNfRUPUgdZOTSaNoF5l'],1957-11-27,0.533,0.556,9,-9.322,1,0.0416,0.75,0.0,0.194,0.876,96.501,4,https://i.scdn.co/image/ab67616d0000b273c6c513f39a29c6958f83f8aa,https://open.spotify.com/track/67hwwxmDrx5UYmGRSm7bHw
616,16ARXAJAcL8ubHDpBLcqDQ,On The Sunny Side Of The Street,51,179493,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1957-01-01,0.692,0.121,8,-14.419,1,0.0493,0.972,0.00155,0.13,0.646,119.569,4,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b,https://open.spotify.com/track/16ARXAJAcL8ubHDpBLcqDQ
640,2qKcRn4aQzcDyr5xPea2Dj,O Último Por do Sol - Voice,46,230667,0,"['Lenine', 'Lula Queiroga']","['4YLBdrR3DVSMncm785NH6C', '1RoHmXBnAHygWrNyCqFX0L']",1957,0.761,0.462,7,-13.126,1,0.104,0.443,0.0106,0.09,0.512,80.744,4,https://i.scdn.co/image/ab67616d0000b2738901e3eb64e87c2936889ff6,https://open.spotify.com/track/2qKcRn4aQzcDyr5xPea2Dj
659,6Ai7PiAjnb4eIiC05By0i4,O Little Town of Bethlehem,43,155493,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1957-10-15,0.325,0.0409,2,-19.102,1,0.0359,0.984,0.000585,0.109,0.212,99.286,5,https://i.scdn.co/image/ab67616d0000b273aa509be2dd24fb6c753cf292,https://open.spotify.com/track/6Ai7PiAjnb4eIiC05By0i4
706,6M55CSNeF4H7y0uEdf2TNH,Old Folks,38,380240,0,['Lou Donaldson'],['063xkuRULzZu8fcoPR2rKR'],1957-01-01,0.503,0.182,2,-12.497,0,0.0404,0.892,0.0662,0.221,0.287,113.874,4,https://i.scdn.co/image/ab67616d0000b27311655f0c30656103049a12db,https://open.spotify.com/track/6M55CSNeF4H7y0uEdf2TNH
728,6IR7YWcDTPptYhEf70y7oq,Only Because,36,173627,0,['The Platters'],['6KWcxMWVNVIYbdOQyJtsSy'],1957-01-26,0.546,0.281,0,-9.951,0,0.0282,0.851,0.0,0.0907,0.472,73.313,4,https://i.scdn.co/image/ab67616d0000b273b5e24735511bd3a1be4dedd1,https://open.spotify.com/track/6IR7YWcDTPptYhEf70y7oq
740,7iOepoaGjo3VR2P2kpDlqf,"On The Atchison, Topeka & The Sante Fe",35,186400,0,"['Johnny Mercer', 'Jo Stafford', 'The Pied Pipers', 'Paul Weston And His Orchestra']","['5cBHm2CXrbncYIDzrxF4Vi', '1Jqk46QvzUn7SnwmTGX6Cw', '5o8E07TcYqIefZpDejymAd', '3EVyH5tLgdq62aXTdKfzey']",1957-01-01,0.686,0.323,8,-10.416,1,0.056,0.799,0.0,0.0597,0.85,151.921,4,https://i.scdn.co/image/ab67616d0000b2733b0618f6afaec59d127006e9,https://open.spotify.com/track/7iOepoaGjo3VR2P2kpDlqf
758,4ilLzdyiRbLNwDOvFVhOoZ,Ouça,34,182467,0,['Maysa'],['6O67GI6ayhWHyFmOOJRLEq'],1957-01-01,0.342,0.418,9,-9.74,1,0.0298,0.216,7.08e-05,0.106,0.339,102.892,4,https://i.scdn.co/image/ab67616d0000b27324685ab3aa40131e774b6289,https://open.spotify.com/track/4ilLzdyiRbLNwDOvFVhOoZ
853,4f0D7T8yswXUJ62AKLoMtS,One For Daddy-O - Remastered,53,505453,0,['Cannonball Adderley'],['5v74mT11KGJqadf9sLw4dA'],1958,0.616,0.434,5,-7.257,0,0.031,0.581,0.0,0.131,0.404,108.467,4,https://i.scdn.co/image/ab67616d0000b2730f81ed1bf84b3585a8492d3d,https://open.spotify.com/track/4f0D7T8yswXUJ62AKLoMtS
902,5NfJlu8F8zfoBEXfjPnk10,"Oh, Lonesome Me",45,150507,0,['Don Gibson'],['4xcYVPssil6vbG6tq3W43S'],1958-04-25,0.714,0.592,10,-12.388,1,0.0356,0.76,1.23e-05,0.0885,0.929,102.987,4,https://i.scdn.co/image/ab67616d0000b2739119d2e1293b5e31a9cf709e,https://open.spotify.com/track/5NfJlu8F8zfoBEXfjPnk10
968,1Lx1ZWeUNi1ZUXfUtIMdT6,"Oh, Susanna",38,77893,0,['Pete Seeger'],['1P9syEkl41IFowWIJN7ZBY'],1958-01-01,0.535,0.318,4,-14.464,1,0.086,0.928,0.00485,0.304,0.706,137.463,4,https://i.scdn.co/image/ab67616d0000b2731123d63a05f793ada9a66eda,https://open.spotify.com/track/1Lx1ZWeUNi1ZUXfUtIMdT6
1027,4RRrIq088bzxbuODK11gnU,On The Sunny Side Of The Street,34,181667,0,['Keely Smith'],['0vQqxnQk1G32RtjSAFq3z1'],1958-05-21,0.559,0.435,11,-9.38,0,0.0394,0.721,0.0,0.283,0.541,106.939,4,https://i.scdn.co/image/ab67616d0000b273f4b984bb374263aa092af21c,https://open.spotify.com/track/4RRrIq088bzxbuODK11gnU
