,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,164,3xyrxS6YnI9r3nsuC6W4Tm,Qué Rico el Mambo,33,185013,0,['Pérez Prado'],['1ZKhPkCXXgtiGgALn4OYtT'],1949,0.639,0.828,5,-7.212,1,0.138,0.745,0.812,0.442,0.608,125.475,4,https://i.scdn.co/image/ab67616d0000b273bbba3121c90587fa632aa3fd,https://open.spotify.com/track/3xyrxS6YnI9r3nsuC6W4Tm
1,202,0wkqOoJ0UJE45Fy0UgjrAc,Quiet Village,33,199453,0,['Les Baxter'],['35pV6EUbherudlvAftoueR'],1951-01-01,0.258,0.185,2,-15.218,0,0.0354,0.713,0.00735,0.137,0.196,112.026,4,https://i.scdn.co/image/ab67616d0000b27322e801ad6c2fd9e839680bcd,https://open.spotify.com/track/0wkqOoJ0UJE45Fy0UgjrAc
2,206,6VF9NxepREvGICZKcw4DJu,Qismat Ki Hawa Kabhi Naram,32,232413,0,['C. Ramchandra'],['4tuzg2QDbDF6ytPrszs4q1'],1951-12-01,0.438,0.72,2,-8.68,1,0.0614,0.579,0.0,0.301,0.94,102.259,4,https://i.scdn.co/image/ab67616d0000b2738dac2eccc1a1744e020d223b,https://open.spotify.com/track/6VF9NxepREvGICZKcw4DJu
3,719,3X7UZA522wL8opCP9WWZIx,Que Bonita Es Mi Tierra,36,156560,0,"['Javier Solís', 'Gerardo Reyes']","['7jerD1mbWgyDukHAmCvdCj', '2HdTW6TLACOcKKsUaRdP0e']",1957,0.438,0.467,10,-8.103,1,0.0291,0.661,5.31e-06,0.394,0.772,109.859,3,https://i.scdn.co/image/ab67616d0000b273e9b425e4298aeebfdbf8f222,https://open.spotify.com/track/3X7UZA522wL8opCP9WWZIx
4,852,6VuJLPtBlEOaR5oYI51ueN,"Quizas, Quizas, Quizas (Perhaps, Perhaps, Perhaps)",54,165600,0,['Nat King Cole'],['7v4imS0moSyGdXyLgVTIV7'],1958-08-01,0.487,0.308,2,-11.63,0,0.0513,0.46,2.25e-06,0.109,0.645,110.43,4,https://i.scdn.co/image/ab67616d0000b273f7d55c4bce4bb1b698ae7e1a,https://open.spotify.com/track/6VuJLPtBlEOaR5oYI51ueN
5,875,2UkKWdjByMLTsxQDiP3XAc,Quiéreme Sempre,49,182200,0,['Orquesta Aragón'],['2jXlqT8v9XIJnKQYRgLvSr'],1958-01-01,0.509,0.414,7,-10.945,0,0.0283,0.657,2.04e-06,0.058,0.8,101.024,4,https://i.scdn.co/image/ab67616d0000b273ab2e4e06aaabcd5f4a69da8a,https://open.spotify.com/track/2UkKWdjByMLTsxQDiP3XAc
6,892,6CgshuINB1WuEDPfFZFCh3,Que Se Mueran de Envidia,46,171653,0,['Javier Solís'],['7jerD1mbWgyDukHAmCvdCj'],1958,0.465,0.233,0,-13.385,0,0.0348,0.865,5.19e-06,0.431,0.591,105.12,4,https://i.scdn.co/image/ab67616d0000b273c78a02e0ca600646cc776007,https://open.spotify.com/track/6CgshuINB1WuEDPfFZFCh3
7,900,02vmgfLM2ahdO1JrGETtZ1,Qué Bonito Amor,45,153667,0,['José Alfredo Jimenez'],['2T06whb4s6UiufL1j5Qtz9'],1958-02-28,0.385,0.0988,7,-18.607,1,0.051,0.713,0.0,0.229,0.482,145.803,3,https://i.scdn.co/image/ab67616d0000b273db1fe3a63184d992e734cc41,https://open.spotify.com/track/02vmgfLM2ahdO1JrGETtZ1
8,1412,71gelPDcvJSiTCC08vcdA3,Quiéreme Siempre,48,136385,0,['Los Cinco Latinos'],['5T5Xw3jmM98NH8KMFB6qrX'],1960-10-20,0.404,0.608,10,-6.958,1,0.0389,0.816,4.73e-05,0.666,0.806,154.417,4,https://i.scdn.co/image/ab67616d0000b27394512679e91b1704d39bb1aa,https://open.spotify.com/track/71gelPDcvJSiTCC08vcdA3
9,1588,0lxZo8brQB2p9tCCOUoGmg,Quiero Ser Libre - I Want to be Free (Remasterizado),32,151400,0,['Los Teen Tops'],['14GfQ6EEHnp1lTAWHgtcYy'],1960,0.477,0.496,4,-9.028,1,0.0304,0.641,0.0,0.179,0.639,95.067,3,https://i.scdn.co/image/ab67616d0000b2730fd39919e9700353f596aae1,https://open.spotify.com/track/0lxZo8brQB2p9tCCOUoGmg
