Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
59,14Ny2S4Y0qNypTs1FGaQjI,Ramblin' On My Mind - Take 1,32,172373,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1936,0.695,0.153,4,-14.111,1,0.0992,0.984,0.0131,0.33,0.564,102.012,4,https://i.scdn.co/image/ab67616d0000b2731dbb341963b1e8bd7eb57885,https://open.spotify.com/track/14Ny2S4Y0qNypTs1FGaQjI
131,1dtIaSlyrLI04sqYa8nLyN,Rudolph the Red-Nosed Reindeer,42,186733,0,['Gene Autry'],['5ixB75BQR3ADoWQkcHQJTs'],1947,0.629,0.159,8,-14.056,1,0.0495,0.883,0.0,0.222,0.642,142.157,4,https://i.scdn.co/image/ab67616d0000b27335e9a6f6a1eded2062526499,https://open.spotify.com/track/1dtIaSlyrLI04sqYa8nLyN
161,4L69BoE55Rl105sozTJNfK,Rigoletito,34,203787,0,['Acerina Y Su Danzonera'],['3WsvaFzZ9DOpXr6YcrFkTh'],1949,0.35,0.59,10,-11.337,1,0.0682,0.48,0.395,0.259,0.799,134.729,4,https://i.scdn.co/image/ab67616d0000b2735189860bcf1bc52ba91ec2a1,https://open.spotify.com/track/4L69BoE55Rl105sozTJNfK
205,1PjvmeUrBN4mHw6LVTvkuz,"Ruby, My Dear",32,190467,0,['Thelonious Monk'],['4PDpGtF16XpqvXxsrFwQnN'],1951,0.553,0.317,1,-13.658,1,0.0343,0.875,0.00955,0.102,0.169,72.518,4,https://i.scdn.co/image/ab67616d0000b273c4c99d6b212f741ba28c5a61,https://open.spotify.com/track/1PjvmeUrBN4mHw6LVTvkuz
222,42wbar3MwSjbRwAn7vYDeR,Relaxing With Lee - Take 2 / Incomplete,34,73440,0,"['Dizzy Gillespie', 'Charlie Parker', 'Thelonious Monk', 'Curly Russell', 'Buddy Rich']","['5RzjqfPS0Bu4bUMkyNNDpn', '4Ww5mwS7BWYjoZTUIrMHfC', '4PDpGtF16XpqvXxsrFwQnN', '1zSDPSHsf6mXiNp3AHmSvG', '1pVtwG5Up1OZOEpSHJ4AAs']",1952-01-01,0.559,0.38,1,-13.858,1,0.0402,0.508,3.39e-05,0.298,0.677,88.286,4,https://i.scdn.co/image/ab67616d0000b2734174cf197700c7bacd647838,https://open.spotify.com/track/42wbar3MwSjbRwAn7vYDeR
225,0lYMgvKnTa5Kh5hyIIR5wO,Ribbon Of Darkness,33,150000,0,['Marty Robbins'],['0Xi59sEw38vRvwleSAVqoo'],1952,0.598,0.413,4,-13.507,1,0.0406,0.803,0.00209,0.123,0.8,114.871,4,https://i.scdn.co/image/ab67616d0000b273878981c0268d4cda0b303b2f,https://open.spotify.com/track/0lYMgvKnTa5Kh5hyIIR5wO
276,01JYtQf53bne6dOGzrneNU,Red Sails In The Sunset,47,197200,0,['Nat King Cole'],['7v4imS0moSyGdXyLgVTIV7'],1954-01-01,0.333,0.126,8,-13.425,1,0.0293,0.967,1.77e-05,0.155,0.252,143.99,4,https://i.scdn.co/image/ab67616d0000b273fdd261528e3590ac36bb85f0,https://open.spotify.com/track/01JYtQf53bne6dOGzrneNU
385,0HYTXS6tTQijJckE25Nwyj,Rock-A-Beatin' Boogie,35,139627,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1955-12-19,0.504,0.978,10,-6.482,0,0.115,0.462,0.00089,0.14,0.75,182.189,4,https://i.scdn.co/image/ab67616d0000b2739060a2c0a01366ee03274597,https://open.spotify.com/track/0HYTXS6tTQijJckE25Nwyj
462,242E7zj2wWWegVlurGpaVz,Rip It Up,46,112707,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-10-19,0.672,0.775,4,-9.098,0,0.0454,0.673,3.43e-06,0.115,0.883,102.119,4,https://i.scdn.co/image/ab67616d0000b273e3b1cdbb2095804f83056bcd,https://open.spotify.com/track/242E7zj2wWWegVlurGpaVz
497,4NazHwfKb4e9WSkFM2OC52,Rock Billy Boogie,40,156427,0,"[""Johnny Burnette & The Rock 'N' Roll Trio""]",['1neKWNZP74NEuvHZmvMS58'],1956-12-12,0.718,0.89,7,-7.163,1,0.0499,0.669,0.0,0.164,0.95,90.312,4,https://i.scdn.co/image/ab67616d0000b27361e69eeb1668fcf994f2a139,https://open.spotify.com/track/4NazHwfKb4e9WSkFM2OC52
501,1RZljuJuHD23UrppF3GkpL,Ready Teddy,39,115387,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1956-10-19,0.607,0.808,0,-8.944,1,0.0454,0.53,5.75e-06,0.112,0.961,102.82,4,https://i.scdn.co/image/ab67616d0000b273e3b1cdbb2095804f83056bcd,https://open.spotify.com/track/1RZljuJuHD23UrppF3GkpL
510,0vXhvlYN43mPBuXWWcyvjo,Rock-A-Bye Your Baby With A Dixie Melody,38,156067,0,['Jerry Lewis'],['7Kaa31WCrBRiLn4wogWtVI'],1956-01-01,0.535,0.433,7,-8.401,1,0.0331,0.457,0.0,0.114,0.491,87.87,4,https://i.scdn.co/image/ab67616d0000b273dd8116985e2f3d0cb41d8eb8,https://open.spotify.com/track/0vXhvlYN43mPBuXWWcyvjo
546,1vfL0PxFqd9vBzXfBxGjIs,Return To Me (Ritorna-Me),34,166627,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1956,0.0885,0.108,2,-19.595,1,0.0392,0.969,0.00151,0.0557,0.172,65.803,3,https://i.scdn.co/image/ab67616d0000b273d6facc7c2ddb5aa5c5b0dec9,https://open.spotify.com/track/1vfL0PxFqd9vBzXfBxGjIs
604,1hGx333PlqfWtTuPdyKmY6,Renunciación,57,177467,0,['Javier Solís'],['7jerD1mbWgyDukHAmCvdCj'],1957,0.374,0.317,0,-9.113,1,0.0373,0.612,2.37e-05,0.245,0.51,134.957,3,https://i.scdn.co/image/ab67616d0000b273e9b425e4298aeebfdbf8f222,https://open.spotify.com/track/1hGx333PlqfWtTuPdyKmY6
608,5tHFPtV7dT01fxDe2AhKjD,Rip It Up,54,141400,0,['Little Richard'],['4xls23Ye9WR9yy3yYMpAMm'],1957-03,0.895,0.636,5,-6.043,1,0.06,0.672,3.31e-06,0.0207,0.967,95.922,4,https://i.scdn.co/image/ab67616d0000b2738a22827b01e5d68d3736d58b,https://open.spotify.com/track/5tHFPtV7dT01fxDe2AhKjD
