Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
136,4alUHNz5SiX3h4ML2ZebSp,Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),31,169533,0,"['Gene Autry', ""Carl Cotner's Orchestra""]","['5ixB75BQR3ADoWQkcHQJTs', '2KCKFs3AGOPFhu6JPH6zIW']",1947,0.743,0.19,1,-11.686,1,0.073,0.928,0.0,0.117,0.954,159.894,4,https://i.scdn.co/image/ab67616d0000b27335e9a6f6a1eded2062526499,https://open.spotify.com/track/4alUHNz5SiX3h4ML2ZebSp
143,5W0B8na4p3jzRx5Wj6JXgc,Una Copa Más - Remasterizado,39,155027,0,['Los Panchos'],['3Ker27Wbb9OcUHGs54JIAz'],1948,0.795,0.243,5,-12.25,0,0.0447,0.955,0.00512,0.26,0.738,115.95,4,https://i.scdn.co/image/ab67616d0000b2736663f9e7b8ca094390947d00,https://open.spotify.com/track/5W0B8na4p3jzRx5Wj6JXgc
228,2uhe5PssRumOJN6jDz2MYJ,Un Poco Loco,32,284816,0,['Bud Powell'],['570vCzcespB48HIQyTbDO6'],1952-01-01,0.399,0.657,7,-10.031,1,0.0409,0.821,0.0189,0.125,0.653,86.856,3,https://i.scdn.co/image/ab67616d0000b273a2a703e2f8f6af5e55c086dc,https://open.spotify.com/track/2uhe5PssRumOJN6jDz2MYJ
260,648TTtYB0bH0P8Hfy0FmkL,Unforgettable,68,191973,0,['Nat King Cole'],['7v4imS0moSyGdXyLgVTIV7'],1954-01-01,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3,https://i.scdn.co/image/ab67616d0000b273fdd261528e3590ac36bb85f0,https://open.spotify.com/track/648TTtYB0bH0P8Hfy0FmkL
284,4LbhIS1d4kBg7lapZ61B4z,Under The Bridges Of Paris,42,169227,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1954,0.211,0.0875,5,-16.903,1,0.0341,0.917,1.87e-05,0.118,0.182,168.535,3,https://i.scdn.co/image/ab67616d0000b273ee552fb77ec80f763711aff7,https://open.spotify.com/track/4LbhIS1d4kBg7lapZ61B4z
300,0cXDLo7TY2qKnC8St5y0D3,Under Paris Skies,36,207333,0,['Mitch Miller'],['0kLeQeOAEqHdFMUItesuij'],1954-11-01,0.311,0.212,5,-16.372,0,0.0359,0.927,0.64,0.383,0.25,144.486,3,https://i.scdn.co/image/ab67616d0000b27315c2829e053df0c919d09109,https://open.spotify.com/track/0cXDLo7TY2qKnC8St5y0D3
846,6l13zG1kziZAn5LnaIqFjv,Un Mundo Raro,56,228440,0,['José Alfredo Jimenez'],['2T06whb4s6UiufL1j5Qtz9'],1958-02-28,0.539,0.147,7,-17.026,1,0.0625,0.818,0.0,0.338,0.608,76.447,4,https://i.scdn.co/image/ab67616d0000b273db1fe3a63184d992e734cc41,https://open.spotify.com/track/6l13zG1kziZAn5LnaIqFjv
1144,4188CuZ3NCRFFLspvQZwrt,Una Limosna (with Javier Solís),50,149107,0,"['Los Panchos', 'Javier Solís']","['3Ker27Wbb9OcUHGs54JIAz', '7jerD1mbWgyDukHAmCvdCj']",1959,0.552,0.407,9,-7.787,1,0.0438,0.84,1.2e-05,0.449,0.705,118.834,4,https://i.scdn.co/image/ab67616d0000b273ff49dae71c56bdb9aab01587,https://open.spotify.com/track/4188CuZ3NCRFFLspvQZwrt
1166,3xW8tODLhF9AOfWdi7i7Rg,Utah Carol,45,193400,0,['Marty Robbins'],['0Xi59sEw38vRvwleSAVqoo'],1959,0.648,0.35,3,-10.68,1,0.0796,0.72,0.0,0.22,0.823,169.865,4,https://i.scdn.co/image/ab67616d0000b273084051346f432cc68a1279cd,https://open.spotify.com/track/3xW8tODLhF9AOfWdi7i7Rg
1422,0pfZCtCDHwLqKShDp4uDsZ,Uno de Tantos (Uno Dei Tanti),47,220933,0,['Enrique Guzman'],['4FeDV8T2wgjzYKBamSp7MG'],1960,0.385,0.295,2,-11.804,0,0.0337,0.841,0.0122,0.108,0.27,80.381,4,https://i.scdn.co/image/ab67616d0000b273ada7aa146183afec5ad0aa03,https://open.spotify.com/track/0pfZCtCDHwLqKShDp4uDsZ
