Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
166,0uKt3B5vY4sRcL6HxRsoTQ,Veinte Años,32,185067,0,['Las Hermanas Padilla'],['2PvsDSuPlWMsCnMcdnQzAZ'],1949,0.491,0.389,0,-9.569,1,0.0296,0.855,0.0,0.169,0.684,102.314,4,https://i.scdn.co/image/ab67616d0000b2735bc3d97daf7525dd981bac3b,https://open.spotify.com/track/0uKt3B5vY4sRcL6HxRsoTQ
191,0q8qmkWirShRjnOB2Nc2Ae,Voy Gritando por la Calle,32,170400,0,['Sonia Lopez'],['412SQ2pwIYKv7NgaOg1uty'],1950,0.799,0.32,9,-10.158,0,0.0697,0.776,1.86e-05,0.347,0.607,105.952,4,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,https://open.spotify.com/track/0q8qmkWirShRjnOB2Nc2Ae
246,3qhxI5f7klTVfK0iWYmKdM,Vaya Con Dios,39,174600,0,"['Les Paul', 'Mary Ford']","['2hkZGvBotqZ7uBBUnBwmLC', '0kI2sHLngm2GKwAZblx465']",1953-01-01,0.645,0.165,4,-14.859,1,0.0329,0.918,0.000308,0.0829,0.199,96.822,3,https://i.scdn.co/image/ab67616d0000b273e139611dc422fb2346ef3f1f,https://open.spotify.com/track/3qhxI5f7klTVfK0iWYmKdM
456,4qnvL2jtPBFzQ3W3u8JphU,Volga Boatman,47,232507,0,['Ahmad Jamal Trio'],['0BqALs1lInR9TTOulUADH7'],1956-11-14,0.623,0.198,9,-16.458,0,0.0543,0.745,0.725,0.112,0.538,84.188,4,https://i.scdn.co/image/ab67616d0000b27311debe30ba91fb802bbdea26,https://open.spotify.com/track/4qnvL2jtPBFzQ3W3u8JphU
694,5e6IB3ls75JPn0tpXggs4W,Venus De Milo,39,192992,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1957,0.436,0.202,3,-14.218,1,0.0547,0.943,0.191,0.109,0.634,160.477,5,https://i.scdn.co/image/ab67616d0000b273f44518f7aea6cc64ecca8448,https://open.spotify.com/track/5e6IB3ls75JPn0tpXggs4W
707,1Rw4pwzS1yBPlncFAuIGlU,Violets For Your Furs - Rudy Van Gelder Remaster,38,375067,0,['John Coltrane'],['2hGh5VOeeqimQFxqXvfCUf'],1957,0.588,0.234,5,-8.709,1,0.0334,0.959,0.603,0.103,0.251,69.11,4,https://i.scdn.co/image/ab67616d0000b2735ed8f0c0d4cb04f0b883a4f6,https://open.spotify.com/track/1Rw4pwzS1yBPlncFAuIGlU
824,5OkKOkdVTKFrYi6GWXkMzR,Volare (Nel Blu Di Pinto Di Blu) - Remastered,66,181627,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1958,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,4,https://i.scdn.co/image/ab67616d0000b2732f13fcfe011d340e9c69923e,https://open.spotify.com/track/5OkKOkdVTKFrYi6GWXkMzR
1021,4GBZMS8mwZsGfz4BAi8K1a,Vencedor de Demanda,34,171267,0,['J.B. De Carvalho'],['3Fhvm9tOzeZZcXWaVhLOCW'],1958,0.527,0.646,6,-11.744,0,0.1,0.859,2.49e-06,0.669,0.582,92.433,4,https://i.scdn.co/image/ab67616d0000b273f37f303b0d53b45a5be4999a,https://open.spotify.com/track/4GBZMS8mwZsGfz4BAi8K1a
1474,5WsCkvrCwgo2RKUEtBWewu,Vuelve Primavera,40,151080,0,['Los Blue Caps'],['6rC7ojIyJ2a1zVcZevThcv'],1960,0.534,0.666,4,-8.373,1,0.0359,0.432,0.00742,0.255,0.889,91.133,4,https://i.scdn.co/image/ab67616d0000b27303353d5f9686306a5b38c659,https://open.spotify.com/track/5WsCkvrCwgo2RKUEtBWewu
1549,2huvYgcL2c9ortiXWtHOIx,Varm korv boogie,34,114787,0,['Owe Thörnqvist'],['5gcvW6H0e7pudeOGevacuw'],1960-03-30,0.364,0.841,7,-4.1,1,0.0728,0.401,0.0,0.175,0.933,175.067,4,https://i.scdn.co/image/ab67616d0000b273a63f5702a22933aff8818418,https://open.spotify.com/track/2huvYgcL2c9ortiXWtHOIx
1585,0DDkW8j34M5hvxj79uGmK7,Venus,32,143493,0,['Frankie Avalon'],['5zNOI87gG4RttFmYAZWaxQ'],1960-05-01,0.558,0.483,10,-10.229,1,0.0291,0.732,2.76e-05,0.131,0.745,115.184,4,https://i.scdn.co/image/ab67616d0000b273257637b71b704181ea25aeb0,https://open.spotify.com/track/0DDkW8j34M5hvxj79uGmK7
2123,0jH9nmgFuW8Ga7ewfYQgwX,"Vieni Su (Say You Love Me, Too) - Remastered",33,146360,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1962-02-05,0.0992,0.162,5,-17.207,1,0.0361,0.91,0.000651,0.111,0.137,88.898,3,https://i.scdn.co/image/ab67616d0000b273ef0f4320c8bf9b2754f52a3a,https://open.spotify.com/track/0jH9nmgFuW8Ga7ewfYQgwX
