Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
1,3eMrYc092k7SIJfWJ7oasR,Weather Bird,38,161933,0,"['Louis Armstrong', 'Earl Hines']","['19eLuQmk9aCobbVDHc6eek', '2mY5u4CceAPrpBnse1WpFr']",1923,0.831,0.262,8,-12.386,1,0.0942,0.984,0.912,0.204,0.901,104.606,4,https://i.scdn.co/image/ab67616d0000b2735598ce5525a549231b44f0cf,https://open.spotify.com/track/3eMrYc092k7SIJfWJ7oasR
11,44GrwA3E0Vr98pkSBFQOpn,Why Don't You Do Right? (feat. Peggy Lee),37,192093,0,"['Benny Goodman', 'Peggy Lee']","['1pBuKaLHJlIlqYxQQaflve', '602DnpaSXJB4b9DZrvxbDc']",1928,0.694,0.293,2,-9.414,0,0.0394,0.976,0.00438,0.276,0.62,128.574,4,https://i.scdn.co/image/ab67616d0000b2736bd39cebfa860967add88d51,https://open.spotify.com/track/44GrwA3E0Vr98pkSBFQOpn
36,3qLfqgs5VACxcBCvq3NTjs,What a Little Moonlight Can Do (with Teddy Wilson & His Orchestra),34,176027,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1933,0.799,0.492,7,-10.942,1,0.0549,0.779,0.000108,0.154,0.828,134.571,4,https://i.scdn.co/image/ab67616d0000b27320c18fa281afe0defb49e629,https://open.spotify.com/track/3qLfqgs5VACxcBCvq3NTjs
48,6LXh42hEpcVLKtUgVkiKZi,Wildwood Flower,40,195040,0,['The Carter Family'],['0FRIWJYklnmsll5M6h4gUL'],1935,0.696,0.299,4,-11.554,1,0.0299,0.98,0.0215,0.21,0.42,95.282,4,https://i.scdn.co/image/ab67616d0000b27372a0fa1ec9359fff8e48b6bb,https://open.spotify.com/track/6LXh42hEpcVLKtUgVkiKZi
66,1RnU42lF1bIdjc2unc9M4R,When You Got a Good Friend,40,158800,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1937,0.785,0.147,6,-11.382,1,0.125,0.938,0.00159,0.0864,0.261,100.824,4,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,https://open.spotify.com/track/1RnU42lF1bIdjc2unc9M4R
68,61rbcfCY9ldEZYGCzpvfSt,When You're Smiling (The Whole World Smiles with You) (with Teddy Wilson & His Orchestra) - Take 3,35,169467,0,"['Billie Holiday', 'Teddy Wilson']","['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1937,0.69,0.282,3,-10.837,1,0.0378,0.915,0.00281,0.251,0.754,93.405,4,https://i.scdn.co/image/ab67616d0000b273fb7a73d18dee3c5e60aa6701,https://open.spotify.com/track/61rbcfCY9ldEZYGCzpvfSt
73,4RzFnBP0EDGpX9CfUdLTda,Walkin' Blues,31,150667,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1937,0.68,0.187,6,-13.954,0,0.074,0.932,3.53e-06,0.15,0.447,107.509,4,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,https://open.spotify.com/track/4RzFnBP0EDGpX9CfUdLTda
74,5RKPe1oN9lGayUCKn00fYi,Wabash Cannonball,41,155388,0,['Roy Acuff'],['7heUyuJw3gZftFZRa1rV6M'],1938,0.717,0.37,9,-10.119,1,0.0365,0.763,0.0,0.424,0.881,99.425,4,https://i.scdn.co/image/ab67616d0000b273422c52954e0b836fbfc06b11,https://open.spotify.com/track/5RKPe1oN9lGayUCKn00fYi
77,0p5zJBYoJOzVLBiDeA0PvS,Where Did You Sleep Last Night,53,181893,0,['Lead Belly'],['3Ovf2lytXSXWFM2cwsJACC'],1939-09-03,0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,3,https://i.scdn.co/image/ab67616d0000b2733d4d818767af61139f0065aa,https://open.spotify.com/track/0p5zJBYoJOzVLBiDeA0PvS
93,4so0Wek9Ig1p6CRCHuINwW,White Christmas,56,177480,0,"['Bing Crosby', 'Ken Darby Singers', 'John Scott Trotter & His Orchestra']","['6ZjFtWeHP9XN7FeKSUe80S', '69UfPJgUmFFAVT740qGVZi', '735L650pvygCZZlPMyHqsN']",1942-01-01,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,3,https://i.scdn.co/image/ab67616d0000b273481bb0db1e8bd0c7104368a4,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
137,6yhLR2sVn1IfsScVrR4ocr,"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra)",62,123360,0,"['Doris Day', 'Frank DeVol & His Orchestra']","['3ESG6pj6a0LvUKklENalT6', '2N0Yx2ISFxGV0yt7xffcnd']",1948,0.416,0.341,9,-10.749,1,0.0391,0.864,0.0,0.724,0.776,177.229,4,https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e,https://open.spotify.com/track/6yhLR2sVn1IfsScVrR4ocr
223,6BavxfUuSOBIhMaEJ6rjNs,Walkin' Shoes,34,193133,0,['Gerry Mulligan Quartet'],['6nLkWu5DSXItXcB6q2ISTO'],1952-01-01,0.596,0.256,2,-11.616,1,0.0641,0.934,0.198,0.114,0.46,136.827,4,https://i.scdn.co/image/ab67616d0000b27372af4a9b46118c869296f4c8,https://open.spotify.com/track/6BavxfUuSOBIhMaEJ6rjNs
279,7GjmzKbriJewFNDPJtVjey,Wolverton Mountain,43,177573,0,['Claude King'],['3apueasSp0paDZeS4aU06g'],1954,0.629,0.335,9,-15.039,1,0.0499,0.806,1.21e-06,0.217,0.834,157.193,4,https://i.scdn.co/image/ab67616d0000b2733d3075673a739ea4186fcadb,https://open.spotify.com/track/7GjmzKbriJewFNDPJtVjey
286,72Z28IsvEVLjSWdUKEQgZ0,White Christmas,41,158533,0,['The Drifters'],['1FqqOl9itIUpXr4jZPIVoT'],1954,0.578,0.182,8,-10.424,1,0.0445,0.825,5e-06,0.144,0.477,127.374,4,https://i.scdn.co/image/ab67616d0000b2732a8c6f8bb79e6b1bbdbe4119,https://open.spotify.com/track/72Z28IsvEVLjSWdUKEQgZ0
365,1PH1sjijtkUjujNiiIgPUN,Will You Still Be Mine - RVG Remaster,39,381360,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1955,0.604,0.453,8,-11.135,1,0.0378,0.806,0.000178,0.18,0.719,127.617,4,https://i.scdn.co/image/ab67616d0000b2730767e3f9c072687c1dcc8d84,https://open.spotify.com/track/1PH1sjijtkUjujNiiIgPUN
396,2t8g0EVWMHXQCVlVGOoD9I,What Is This Thing Called Love - Remastered,33,155560,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1955,0.277,0.135,9,-16.009,0,0.0364,0.86,0.000822,0.334,0.115,118.248,4,https://i.scdn.co/image/ab67616d0000b273d4f8a582c0c3a3d67f395c6d,https://open.spotify.com/track/2t8g0EVWMHXQCVlVGOoD9I
