Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
1020,4H2i87LJWy8VepRUeq41KZ,Xamêgo,34,179827,0,['Luiz Gonzaga'],['2ZofT7n9AlTKf7KDCoHGgD'],1958-09-16,0.745,0.812,2,-9.005,1,0.0384,0.64,1.43e-05,0.257,0.964,103.684,4,https://i.scdn.co/image/ab67616d0000b27359849971a1d6c1813ce3a62a,https://open.spotify.com/track/4H2i87LJWy8VepRUeq41KZ
11424,2Yn7a6j6jWq9xzQFP2myDS,X Offender - Remastered,42,194533,0,['Blondie'],['4tpUmLEVLCGFr93o8hFFIB'],1976-12-01,0.368,0.802,4,-6.173,1,0.0518,0.0262,0.000653,0.242,0.797,153.113,4,https://i.scdn.co/image/ab67616d0000b273d377fa9b12ba09ee525b60a8,https://open.spotify.com/track/2Yn7a6j6jWq9xzQFP2myDS
11994,5q7KiSN7znIONR76LAqm7k,Xanadu,47,664853,0,['Rush'],['2Hkut4rAAyrQxRdof7FVJq'],1977-09-01,0.316,0.529,5,-9.067,0,0.0516,0.127,0.00229,0.0923,0.0456,140.785,4,https://i.scdn.co/image/ab67616d0000b273c3d872d5405c76e3956cbbb6,https://open.spotify.com/track/5q7KiSN7znIONR76LAqm7k
22989,7o2AeQZzfCERsRmOM86EcB,Xtal,57,293752,0,['Aphex Twin'],['6kBDZFXuLrZgHnvmPu9NsG'],1992-02-10,0.51,0.505,9,-13.053,0,0.0344,0.342,0.96,0.117,0.318,114.532,4,https://i.scdn.co/image/ab67616d0000b27338906032688bb13b135ce19a,https://open.spotify.com/track/7o2AeQZzfCERsRmOM86EcB
25479,08c3wmdjKSjxTJY9cHSts7,XXX's And OOO's (An American Girl),56,167907,0,['Trisha Yearwood'],['3XlIhgydjvC4EniPFZT20j'],1995-01-01,0.711,0.642,0,-8.909,1,0.0319,0.176,0.0,0.0814,0.762,125.831,4,https://i.scdn.co/image/ab67616d0000b2739081ad23e96be83508a17571,https://open.spotify.com/track/08c3wmdjKSjxTJY9cHSts7
27746,2E2WGx9lYdta9BRy2axWXR,X-Is Coming,59,258533,1,['DMX'],['1HwM5zlC5qNWhJtM00yXzG'],1998-05-01,0.776,0.53,9,-7.741,0,0.338,0.0338,0.0,0.207,0.576,86.755,4,https://i.scdn.co/image/ab67616d0000b27311658b970e0518be491871df,https://open.spotify.com/track/2E2WGx9lYdta9BRy2axWXR
28376,0Ed7MeXx64f6OcIuoTRCg1,Xxplosive,71,215200,1,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']","['6DPYiyq5kWVQS4RGwxzPC7', '3np2OYRZAgI4e6lxeGmGr8', '4xko5t5site4jVwopoCF21', '1Oa0bMld0A3u5OTYfMzp5h', '6NyJIFHAePjHR1pFxwisqz']",1999-11-16,0.765,0.88,1,-4.361,1,0.116,0.176,1e-05,0.139,0.929,168.96,4,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,https://open.spotify.com/track/0Ed7MeXx64f6OcIuoTRCg1
29276,5stZnlPMYz3Ba8Hbo3ajlP,X,63,255640,1,['Xzibit'],['4tujQJicOnuZRLiBFdp3Ou'],2000-04-02,0.936,0.678,4,-3.012,0,0.21,0.0795,0.0,0.0838,0.822,96.911,4,https://i.scdn.co/image/ab67616d0000b273ca223db78b2ffe5c462cf848,https://open.spotify.com/track/5stZnlPMYz3Ba8Hbo3ajlP
29286,3uCg5JVHl2E6i8gFJxUjsp,Xote Dos Milagres,62,266440,0,['Falamansa'],['6uTK3YD9CT3pLx2yEfVmXk'],2000,0.645,0.471,11,-9.192,0,0.0401,0.271,0.0,0.152,0.767,79.125,4,https://i.scdn.co/image/ab67616d0000b273c523bdcbc4495cf144ccac36,https://open.spotify.com/track/3uCg5JVHl2E6i8gFJxUjsp
29827,3QQhhSRe31x9qs1NqlOuOS,Xote da Alegria,59,253733,0,['Falamansa'],['6uTK3YD9CT3pLx2yEfVmXk'],2001,0.7,0.491,11,-10.566,1,0.0476,0.554,0.0,0.144,0.779,79.968,4,https://i.scdn.co/image/ab67616d0000b273b9ec563ef5e85bd6dfdcde9a,https://open.spotify.com/track/3QQhhSRe31x9qs1NqlOuOS
31886,1zzxoZVylsna2BQB65Ppcb,X Gon' Give It To Ya,83,217587,1,['DMX'],['1HwM5zlC5qNWhJtM00yXzG'],2007-06-12,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,4,https://i.scdn.co/image/ab67616d0000b27301a6faf91e207748e8e32e0a,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
34530,7cpCU3Denug5NGZsSpQl8v,XO,73,213627,0,['John Mayer'],['0hEurMDQu99nJRq8pTxO14'],2014-05-27,0.431,0.377,2,-9.753,1,0.0288,0.749,0.0,0.211,0.353,173.67,4,https://i.scdn.co/image/ab67616d0000b273924db37163c8c94430c689fc,https://open.spotify.com/track/7cpCU3Denug5NGZsSpQl8v
35372,0ZAiqymvbQUZAh9y6ZT3Rm,XO,74,159512,0,['EDEN'],['1t20wYnTiAT0Bs7H1hv9Wt'],2016-08-19,0.611,0.39,2,-5.861,0,0.116,0.625,0.0,0.118,0.617,163.897,4,https://i.scdn.co/image/ab67616d0000b273c61b46cf682d7f0183fcb87c,https://open.spotify.com/track/0ZAiqymvbQUZAh9y6ZT3Rm
35397,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),73,258880,1,"['21 Savage', 'Metro Boomin', 'Future']","['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '1RyvyyTE3xzB2ZywiAwp0i']",2016-07-15,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,4,https://i.scdn.co/image/ab67616d0000b2732dd1ac4a61495080ef8f78ca,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
35666,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,84,182707,1,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2017-08-25,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,4,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
36764,4QIo4oxwzzafcBWkKjDpXY,xanny,77,243725,0,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],2019-03-29,0.521,0.125,9,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,4,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
37328,1O74aTse7W5hd2rAvnEVaW,Xerecard,80,236112,1,"['Jeff Costa', 'Mc Danny']","['7FMscVRC6dsjpDpgt1r4Hn', '3PZTvUS5fUUhV3EKAjqdZk']",2020-10-18,0.94,0.739,4,-6.297,1,0.0441,0.426,0.000951,0.286,0.962,125.964,4,https://i.scdn.co/image/ab67616d0000b27390cdf508fcfce32b67911d72,https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
40389,19lX102fNMgBgsOr9CkrQj,Xeribi - Remastered,39,290017,0,['Ciwan Haco'],['4o7TBxtRmKEAbKYFrjv3NG'],1988-12-05,0.325,0.53,2,-7.683,0,0.0439,0.767,0.000216,0.0685,0.535,177.868,4,https://i.scdn.co/image/ab67616d0000b273185c9e65cd9927dcce424ee1,https://open.spotify.com/track/19lX102fNMgBgsOr9CkrQj
41566,2OmYZVnn751zw6iESV6jLw,Xandinha,36,343133,0,['Cesária Evora'],['0Nks3cFWU2a7rooAlFQYgn'],1995-02-07,0.599,0.171,4,-15.116,0,0.0426,0.906,8.26e-06,0.118,0.435,127.433,4,https://i.scdn.co/image/ab67616d0000b273b67794f11bfc80af47735d61,https://open.spotify.com/track/2OmYZVnn751zw6iESV6jLw
46291,4E5ombPeNdVQFgGFDb0Bhs,X-Ray Eyes,36,226333,0,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],1979-03-23,0.557,0.833,4,-6.479,1,0.0311,0.255,2.5e-06,0.11,0.691,130.098,4,https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022,https://open.spotify.com/track/4E5ombPeNdVQFgGFDb0Bhs
49265,4HIKcEKSijQLW5YNLsdLzt,X,56,118160,0,['System Of A Down'],['5eAWCfyUhZtHHtBdNk56l1'],2001-09-04,0.492,0.948,0,-3.549,1,0.0525,0.00118,0.00641,0.295,0.523,90.569,4,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,https://open.spotify.com/track/4HIKcEKSijQLW5YNLsdLzt
49507,2rxp56vVQp1zzumJ0eHLmw,X&Y,56,274176,0,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],2005-06-07,0.225,0.561,6,-6.813,0,0.0352,0.563,0.00987,0.366,0.0818,153.24,4,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651,https://open.spotify.com/track/2rxp56vVQp1zzumJ0eHLmw
53040,58q5Jz1My29hgf6lh2N2Sj,Xplosion,31,262014,0,['Vico C'],['0ciTdf9bGl9L3JM1Z0nLCT'],1990-01-01,0.576,0.773,7,-6.864,1,0.191,0.156,0.0,0.675,0.566,98.148,4,https://i.scdn.co/image/ab67616d0000b27304e42e6324abe5f53c515f3d,https://open.spotify.com/track/58q5Jz1My29hgf6lh2N2Sj
57191,5iRVNYbhfWNO2VzBykX7GS,Xenogenesis,62,233379,0,['TheFatRat'],['3OKg7YbOIatODzkRIbLJR4'],2014-11-27,0.544,0.608,10,-8.073,0,0.0287,0.0313,0.742,0.0925,0.088,145.049,4,https://i.scdn.co/image/ab67616d0000b2738eb141451f186d199da93317,https://open.spotify.com/track/5iRVNYbhfWNO2VzBykX7GS
57734,6JjPBQfI2Y8nIjnm65X6Pw,X (feat. Maluma & Ozuna) - Remix,70,235747,0,"['Nicky Jam', 'J Balvin', 'Maluma', 'Ozuna']","['1SupJlEpv7RS2tPNRaHViT', '1vyhD5VmyZ7KMfW5gqLgo5', '1r4hJ1h58CWwUQe3MxPuau', '1i8SpTcr7yvPOmcqrbnVXY']",2018-06-29,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,4,https://i.scdn.co/image/ab67616d0000b27343ec4e5bf12be32fc0beaac2,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
60434,76mh0rcSJpNhoCCqazptWm,Xpander,40,690373,0,['Sasha'],['6u4jLGLPuarS3i2XWHVxoS'],1999-07-05,0.543,0.96,8,-8.034,1,0.0466,0.000857,0.81,0.159,0.745,128.083,4,https://i.scdn.co/image/ab67616d0000b2733bc762b912245e33f6ba2cae,https://open.spotify.com/track/76mh0rcSJpNhoCCqazptWm
60500,1ExOIRM6W7W587SpnmWJZ2,X - files,35,239693,0,['DJ Dado'],['0sBXK3EAqYWj5qywdhVY7j'],2000-10-04,0.642,0.903,9,-9.632,0,0.0331,0.247,0.873,0.0887,0.442,134.989,4,https://i.scdn.co/image/ab67616d0000b273caaa00fef4b58188a91cd956,https://open.spotify.com/track/1ExOIRM6W7W587SpnmWJZ2
62862,6LE4MhZsmxaZ6kwZplDhXO,Xanadu - 2000 version,33,201107,0,['Electric Light Orchestra'],['7jefIIksOi1EazgRTfW2Pk'],1973,0.51,0.615,9,-8.495,1,0.0316,0.385,0.00456,0.13,0.518,126.784,4,https://i.scdn.co/image/ab67616d0000b2732fc8aa620527b53663388592,https://open.spotify.com/track/6LE4MhZsmxaZ6kwZplDhXO
64046,3nnvMbieuZH3L3caIRdpjk,X.Y.U. - Remastered 2012,45,427093,1,['The Smashing Pumpkins'],['40Yq4vzPs9VNUrIBG5Jr2i'],1995,0.32,0.739,11,-8.375,1,0.0502,0.000127,0.749,0.21,0.24,114.053,4,https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6,https://open.spotify.com/track/3nnvMbieuZH3L3caIRdpjk
64535,6IPlwxIq7t3bFD18w9MZoQ,Xxplosive - Instrumental,44,215440,0,['Dr. Dre'],['6DPYiyq5kWVQS4RGwxzPC7'],1999-11-17,0.752,0.861,1,-5.788,1,0.0504,0.0462,0.811,0.135,0.948,84.467,4,https://i.scdn.co/image/ab67616d0000b273b986942966fc442a970a2879,https://open.spotify.com/track/6IPlwxIq7t3bFD18w9MZoQ
69737,2K1mqI6DBj5qv83oif1Zj5,XOXA - Premium,68,233680,1,"['Farruko', 'El Alfa']","['329e4yvIujISKGKz1BZZbO', '2oQX8QiMXOyuqbcZEFsZfm']",2021-02-23,0.593,0.643,8,-3.792,1,0.292,0.107,3.85e-05,0.199,0.366,179.956,4,https://i.scdn.co/image/ab67616d0000b2739b4fb5a9f678bc05212c4686,https://open.spotify.com/track/2K1mqI6DBj5qv83oif1Zj5
69811,6Hn9ZU7hZKAh1HsYMA26o8,Xica Da Silva,41,242733,0,['Jorge Ben Jor'],['5JYtpnUKxAzXfHEYpOeeit'],1976-01-01,0.634,0.753,9,-4.096,0,0.0628,0.498,0.0,0.161,0.914,129.006,4,https://i.scdn.co/image/ab67616d0000b2732a3e351bbab659d55a2fadec,https://open.spotify.com/track/6Hn9ZU7hZKAh1HsYMA26o8
73354,2gGTyVhUUSo6QyIMWOGZqy,Xana,41,337613,0,['Avalanch'],['2ZUIJQdnxHYN1pssKbtwh5'],2001-01-01,0.477,0.972,11,-6.752,1,0.0713,0.00101,0.000547,0.0856,0.292,150.061,4,https://i.scdn.co/image/ab67616d0000b27311d5fbf3d383c7615550ca93,https://open.spotify.com/track/2gGTyVhUUSo6QyIMWOGZqy
74333,51CGbL9BAw1896waeHoR9w,X19X,51,161107,0,['Feid'],['2LRoIwlKmHjgvigdNGBHNo'],2020-04-23,0.596,0.4,6,-9.072,0,0.112,0.71,0.0,0.103,0.083,171.515,5,https://i.scdn.co/image/ab67616d0000b2738e8753ff69b7efb6f8e146cd,https://open.spotify.com/track/51CGbL9BAw1896waeHoR9w
74344,24lBVR15wE6fcl7vN5pec1,XNTXS,50,147920,0,['Feid'],['2LRoIwlKmHjgvigdNGBHNo'],2020-04-23,0.765,0.543,7,-7.876,1,0.272,0.386,0.0,0.0824,0.426,100.197,4,https://i.scdn.co/image/ab67616d0000b2738e8753ff69b7efb6f8e146cd,https://open.spotify.com/track/24lBVR15wE6fcl7vN5pec1
74918,5wYqKB5kuA1CTUi7NC60IQ,X-Ray Mind,40,311307,0,['Mad Season'],['0T7JQxpy1Li93vLNirbv0Z'],1995-03-07,0.395,0.854,4,-6.562,0,0.0506,0.00167,0.00739,0.0718,0.582,128.34,4,https://i.scdn.co/image/ab67616d0000b2736f05798ac49c8ef26714628b,https://open.spotify.com/track/5wYqKB5kuA1CTUi7NC60IQ
76465,77fvnWALKJR0ws1VUx09CY,X (with KAROL G),74,185277,0,"['Jonas Brothers', 'KAROL G']","['7gOdHgIoIKoe4i9Tta6qdD', '790FomKkXshlbRYZFtlgla']",2020-05-15,0.715,0.827,4,-5.09,0,0.0617,0.0485,3.61e-05,0.321,0.75,117.977,4,https://i.scdn.co/image/ab67616d0000b2733b3cd45dfa6f779c01d63fdb,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
81483,6o92Z50qYohU4Q03xbMneu,X.O,64,172563,0,"['The Limba', 'Andro']","['7LdZqOf4uMeA5vzlI0oza7', '4J6A7DGmVEA4CXhTnCxxEd']",2020-05-15,0.863,0.626,5,-6.805,0,0.0399,0.162,0.0,0.112,0.369,100.031,4,https://i.scdn.co/image/ab67616d0000b273e2d626ea73b15c5a773700c0,https://open.spotify.com/track/6o92Z50qYohU4Q03xbMneu
