,Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
0,5,0fkfPggXhmXEkzCq0170MQ,Your Feet's Too Big,33,184053,0,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.715,0.0885,0,-20.028,1,0.191,0.728,2.55e-06,0.125,0.629,117.142,4,https://i.scdn.co/image/ab67616d0000b2733169bf80e62237b5d014900d,https://open.spotify.com/track/0fkfPggXhmXEkzCq0170MQ
1,104,08QeNS5TcbtaKNxrJlwybb,You Do Something to Me,39,153093,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1944,0.495,0.228,3,-13.33,1,0.0686,0.834,1.29e-06,0.183,0.567,169.598,4,https://i.scdn.co/image/ab67616d0000b273adc00c634aece753358f92fe,https://open.spotify.com/track/08QeNS5TcbtaKNxrJlwybb
2,227,0UHrAWfeboiGQlfJloAwbf,You Were Meant For Me,32,285000,0,['Gene Kelly'],['1mhlGWeiNrWnhJJc2EufYk'],1952-04-11,0.217,0.108,5,-20.572,0,0.0386,0.979,0.309,0.0804,0.12,121.012,4,https://i.scdn.co/image/ab67616d0000b273b0dc19d598c78422ea87197b,https://open.spotify.com/track/0UHrAWfeboiGQlfJloAwbf
3,334,2Qlx7OlT4o9JIsAbgLwhm1,Yeh Lo Main Haari Piya,31,190787,0,['Geeta Dutt'],['0QsbYX8XslSSUcztc6u4pO'],1954-12-31,0.555,0.533,3,-7.609,1,0.0379,0.802,0.211,0.27,0.881,82.682,4,https://i.scdn.co/image/ab67616d0000b273298ed5bd66cb1026e09b8207,https://open.spotify.com/track/2Qlx7OlT4o9JIsAbgLwhm1
4,390,3341eBppSCetzo507uJU06,You Don't Know What Love Is,34,178067,0,"[""Anita O'Day""]",['5QGnprJtpZmk3OiDqspPlB'],1955-01-01,0.423,0.0418,10,-17.75,1,0.0323,0.953,0.0,0.125,0.137,105.901,4,https://i.scdn.co/image/ab67616d0000b273a7ad378ab2da9b23d196a5d2,https://open.spotify.com/track/3341eBppSCetzo507uJU06
5,404,2SFux1hir5ZaiPqNd7R15D,You Don't Know What Love Is - Remastered 2004,32,290693,0,['Chet Baker'],['3rxeQlsv0Sc2nyYaZ5W71T'],1955-01-01,0.587,0.0623,5,-15.66,0,0.0462,0.989,0.121,0.0979,0.2,129.645,4,https://i.scdn.co/image/ab67616d0000b273139959676bd3da09a14b40c3,https://open.spotify.com/track/2SFux1hir5ZaiPqNd7R15D
6,420,2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,66,177400,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1956-03,0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166,4,https://i.scdn.co/image/ab67616d0000b273b9ea1c69fe9efbdc2df85a95,https://open.spotify.com/track/2WaYW84yWij5NSCpgSeU2R
7,450,78MIFwIW5oUNdaL6Sj8hTB,You Go To My Head,48,174867,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1956-01-01,0.559,0.0973,8,-16.264,1,0.0463,0.986,0.000104,0.155,0.212,68.3,3,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,https://open.spotify.com/track/78MIFwIW5oUNdaL6Sj8hTB
8,520,1Aa2phci2wSI0PWyoESUJA,You Turned The Tables On Me,37,206760,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1956-01-01,0.584,0.103,0,-14.09,1,0.0435,0.99,0.00257,0.102,0.356,81.899,4,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,https://open.spotify.com/track/1Aa2phci2wSI0PWyoESUJA
9,539,7lZagRCKskAjzZ40Kdx4bB,You Do Something To Me,35,142520,0,['Ella Fitzgerald'],['5V0MlUE1Bft0mbLlND7FJz'],1956-01-01,0.457,0.0651,0,-19.429,0,0.0314,0.661,0.0,0.169,0.367,103.812,4,https://i.scdn.co/image/ab67616d0000b2735de02d26973639bf6f1eea25,https://open.spotify.com/track/7lZagRCKskAjzZ40Kdx4bB
10,543,5lJlcm51WrBe4JuqFURvDP,You Brought A New Kind Of Love To Me - Remastered 1998,35,168933,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1956-03,0.54,0.206,0,-13.896,1,0.032,0.472,0.0,0.117,0.49,107.955,4,https://i.scdn.co/image/ab67616d0000b273b9ea1c69fe9efbdc2df85a95,https://open.spotify.com/track/5lJlcm51WrBe4JuqFURvDP
11,647,4bF0x2dnqPkozardgPRnt1,Yesterdays,44,205133,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1957-01-01,0.41,0.1,5,-13.706,0,0.0434,0.949,0.0,0.125,0.188,76.603,4,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b,https://open.spotify.com/track/4bF0x2dnqPkozardgPRnt1
