Unnamed: 0,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
2130,3D9o3YygprSgkRqQ2IsBM6,Zambesi,32,168133,0,['Bert Kaempfert'],['2s6JabvZdqVQhfOsaxCSFX'],1962-01-01,0.621,0.507,10,-9.98,1,0.0323,0.558,0.22,0.0506,0.96,91.038,4,https://i.scdn.co/image/ab67616d0000b2730d25905c2a868dbbe80d7cac,https://open.spotify.com/track/3D9o3YygprSgkRqQ2IsBM6
2971,3MSsnM3cyl8fYlH8XSA1Rl,Zambita Pa' Don Rosendo,35,242960,0,['Jorge Cafrune'],['3uy9MpO6gLAW1LHhDRXM38'],1964-11-12,0.494,0.344,4,-10.532,1,0.0382,0.954,0.000884,0.125,0.371,131.056,4,https://i.scdn.co/image/ab67616d0000b2732f776a52ec3d4109f7805665,https://open.spotify.com/track/3MSsnM3cyl8fYlH8XSA1Rl
3436,5XAcKqknLkmAsnbDeJJxeN,Zorba The Greek,36,264853,0,['Herb Alpert & The Tijuana Brass'],['09L3cUdx0hq6qn5bKuJJ4I'],1965-10-01,0.532,0.641,5,-12.702,1,0.323,0.155,0.264,0.0584,0.191,82.105,4,https://i.scdn.co/image/ab67616d0000b2733c893f419757910dca22bb74,https://open.spotify.com/track/5XAcKqknLkmAsnbDeJJxeN
4256,1F7euzYeo32NncoyEBo63v,Zig Zag Wanderer,46,158800,0,['Captain Beefheart & His Magic Band'],['2k8kY9zHUWxuTtwV4UutHw'],1967,0.428,0.843,9,-7.655,1,0.0747,0.058,0.0334,0.115,0.885,143.758,4,https://i.scdn.co/image/ab67616d0000b273a1b6277839cf22f21b69f267,https://open.spotify.com/track/1F7euzYeo32NncoyEBo63v
4376,217pvRsfk1XVewfhJCesXB,Zamba Del Cantor Enamorado,41,212133,0,['Hernan Figueroa Reyes'],['4uIoOdivSAzUdJB8CTfP8S'],1967-01-01,0.656,0.345,0,-11.585,0,0.0442,0.807,0.0,0.059,0.28,80.63,3,https://i.scdn.co/image/ab67616d0000b2736fd86d96b3ef77aaf24af53a,https://open.spotify.com/track/217pvRsfk1XVewfhJCesXB
4465,3LNnAgImAtJOMeupvI976s,Zamba Para No Morir,38,233107,0,['Hernan Figueroa Reyes'],['4uIoOdivSAzUdJB8CTfP8S'],1967-01-01,0.527,0.278,3,-12.505,0,0.0386,0.838,2.2e-06,0.0816,0.476,138.975,3,https://i.scdn.co/image/ab67616d0000b2736fd86d96b3ef77aaf24af53a,https://open.spotify.com/track/3LNnAgImAtJOMeupvI976s
5410,1FPmEIIIhzo6lSUXPoxVuS,Zabadak!,34,228667,0,"['Dave Dee, Dozy, Beaky, Mick & Tich']",['3tKmZgJAXrog8SnYpzWSbe'],1968-05-31,0.487,0.879,7,-6.151,1,0.157,0.284,0.897,0.113,0.404,129.522,4,https://i.scdn.co/image/ab67616d0000b2736789d1124320673940467121,https://open.spotify.com/track/1FPmEIIIhzo6lSUXPoxVuS
5496,7HBYBRQKEq8ZHgMRRqusJ3,Zip-A-Dee-Doo-Dah,31,142133,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1968,0.514,0.201,10,-15.535,1,0.093,0.739,8.3e-06,0.0828,0.72,160.599,4,https://i.scdn.co/image/ab67616d0000b273ea22d2b9303e2eb3d15d8f95,https://open.spotify.com/track/7HBYBRQKEq8ZHgMRRqusJ3
6090,6PrbuMF3ivlCN84nniwOvk,Zapatos Rotos,37,169293,0,['Los Náufragos'],['7kAzSVEzKf7njKvpTC4AAH'],1969-09-06,0.631,0.403,7,-7.022,1,0.0379,0.487,0.0,0.577,0.527,122.313,4,https://i.scdn.co/image/ab67616d0000b273dc8377bc88bb206e6827ca96,https://open.spotify.com/track/6PrbuMF3ivlCN84nniwOvk
6240,2oRETehbC8QRXJmEZt5Nhr,Zip A Dee Doo Dah,34,189467,0,['The Jackson 5'],['2iE18Oxc8YSumAU232n4rW'],1969-12-18,0.629,0.599,10,-12.623,1,0.0369,0.234,0.00187,0.527,0.861,87.907,4,https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38,https://open.spotify.com/track/2oRETehbC8QRXJmEZt5Nhr
